% Title: Huntington, All Species
% Creator: Neena Parikh
%
@RELATION infection

@ATTRIBUTE class {Control,GDS1236,GDS2887,GDS3515,GDS717}
@ATTRIBUTE RALA NUMERIC
@ATTRIBUTE CBX5 NUMERIC
@ATTRIBUTE CALM3 NUMERIC
@ATTRIBUTE SCT NUMERIC
@ATTRIBUTE GLG1 NUMERIC
@ATTRIBUTE NFIB NUMERIC
@ATTRIBUTE CDKN1A NUMERIC
@ATTRIBUTE GLUL NUMERIC
@ATTRIBUTE WT1 NUMERIC
@ATTRIBUTE MAPK8IP1 NUMERIC
@ATTRIBUTE SRPRB NUMERIC
@ATTRIBUTE TPM1 NUMERIC
@ATTRIBUTE IVD NUMERIC
@ATTRIBUTE IMMT NUMERIC
@ATTRIBUTE MAP3K8 NUMERIC
@ATTRIBUTE LMNB1 NUMERIC

@DATA
Control,354.4,180,15.3000000000001,722.9,94.4999999999999,339.5,15.3000000000001,87.0000000000001,87.0000000000001,121.1,460.9,278.6,359.9,172.7,441.7,450.2
Control,383.4,231.8,35.3000000000001,823.1,180.2,351.4,35.3000000000001,146.8,146.8,51.8,458.6,310.9,370.1,65.8,449.7,443.4
Control,391,211.2,160.4,185.5,86.0999999999999,290.3,213.5,170.6,170.6,222.7,456,241.7,390.5,160.4,445.4,452.5
Control,345.3,186.6,43.6999999999999,193,176.5,307.5,208.3,209.8,209.8,260.7,462.2,228.1,416.1,43.6999999999999,446.3,451.9
Control,392,228.5,105.6,402.7,149.9,345.3,125.6,65.8,65.8,177.1,451.1,305.9,374.6,105.6,438.3,433.4
GDS717,323.4,234.9,20.1999999999999,1172.8,234.9,331.5,20.1999999999999,6.80000000000007,6.80000000000007,7.50000000000006,466.2,310,406.9,108.9,425,443.7
GDS717,358.3,233.9,168.5,986.8,233.9,341,168.5,83.5999999999999,83.5999999999999,42.1,454.4,298,404.5,103.9,437.6,449.5
GDS717,351.3,231.3,220.6,908.8,204.7,370.8,220.6,30.0999999999999,30.0999999999999,60.6999999999999,468.6,277.4,390.9,58.0999999999999,455.1,447.1
GDS717,375,238.9,50.8000000000001,885.9,161.6,360.9,50.8000000000001,23.3000000000001,23.3000000000001,94.0999999999999,462.2,318,402.5,6.60000000000008,453.9,439.4
GDS717,379.3,209.1,176.5,918,179.8,356.4,176.5,105.1,105.1,184.8,461.9,316.1,397.9,138.6,440.3,439.6
GDS717,365.6,219.7,15.6999999999999,836.8,191.9,372.4,15.6999999999999,63.7,63.7,90.5999999999999,462.7,342.5,391.8,47.0999999999999,442.3,439.1
