% Title: HIV, All Species Singlenet
% Creator: Neena Parikh
%
@RELATION infection

@ATTRIBUTE class {Control,Infected}
@ATTRIBUTE SORD NUMERIC
@ATTRIBUTE COL14A1 NUMERIC
@ATTRIBUTE PECAM1 NUMERIC
@ATTRIBUTE SLC6A6 NUMERIC
@ATTRIBUTE DTNA NUMERIC
@ATTRIBUTE PRKCB NUMERIC
@ATTRIBUTE GRB10 NUMERIC
@ATTRIBUTE RELB NUMERIC
@ATTRIBUTE GNA14 NUMERIC
@ATTRIBUTE CCDC50 NUMERIC
@ATTRIBUTE DNAJC3 NUMERIC
@ATTRIBUTE CORO1A NUMERIC
@ATTRIBUTE VTI1A NUMERIC
@ATTRIBUTE TUBB2A NUMERIC
@ATTRIBUTE TNP1 NUMERIC
@ATTRIBUTE CADPS NUMERIC
@ATTRIBUTE PTRF NUMERIC
@ATTRIBUTE LRIG1 NUMERIC
@ATTRIBUTE NEK2 NUMERIC
@ATTRIBUTE UBE2Z NUMERIC
@ATTRIBUTE HNRNPA3 NUMERIC
@ATTRIBUTE ATP2B2 NUMERIC
@ATTRIBUTE CLN8 NUMERIC
@ATTRIBUTE SLC30A5 NUMERIC
@ATTRIBUTE SP100 NUMERIC
@ATTRIBUTE ZFP106 NUMERIC
@ATTRIBUTE FBLN1 NUMERIC
@ATTRIBUTE TCF20 NUMERIC
@ATTRIBUTE TGFB3 NUMERIC
@ATTRIBUTE SEPT2 NUMERIC
@ATTRIBUTE PPARGC1A NUMERIC
@ATTRIBUTE WFS1 NUMERIC
@ATTRIBUTE FBXO3 NUMERIC
@ATTRIBUTE KPNB1 NUMERIC
@ATTRIBUTE PAK2 NUMERIC
@ATTRIBUTE CD44 NUMERIC
@ATTRIBUTE GALT NUMERIC
@ATTRIBUTE HGFAC NUMERIC
@ATTRIBUTE MAPRE2 NUMERIC
@ATTRIBUTE PLA2G10 NUMERIC
@ATTRIBUTE CHERP NUMERIC
@ATTRIBUTE CSNK1A1 NUMERIC
@ATTRIBUTE ANK3 NUMERIC
@ATTRIBUTE SCARB2 NUMERIC
@ATTRIBUTE COL4A2 NUMERIC
@ATTRIBUTE ABLIM1 NUMERIC
@ATTRIBUTE TOLLIP NUMERIC
@ATTRIBUTE CLEC11A NUMERIC
@ATTRIBUTE TGM2 NUMERIC
@ATTRIBUTE TCF4 NUMERIC
@ATTRIBUTE PDE1A NUMERIC
@ATTRIBUTE PITPNA NUMERIC
@ATTRIBUTE PTPN5 NUMERIC
@ATTRIBUTE CCDC96 NUMERIC
@ATTRIBUTE TK2 NUMERIC
@ATTRIBUTE ADCY9 NUMERIC
@ATTRIBUTE XPNPEP1 NUMERIC
@ATTRIBUTE ORMDL3 NUMERIC
@ATTRIBUTE CPSF2 NUMERIC
@ATTRIBUTE GATAD2A NUMERIC
@ATTRIBUTE UHRF1 NUMERIC
@ATTRIBUTE BBS9 NUMERIC
@ATTRIBUTE PAX3 NUMERIC
@ATTRIBUTE NUP50 NUMERIC
@ATTRIBUTE FPR1 NUMERIC
@ATTRIBUTE ALDH3A2 NUMERIC
@ATTRIBUTE PPM1B NUMERIC
@ATTRIBUTE NADK NUMERIC

@DATA
Control,673.055,674.439,674.801,674.413,0,674.332,674.893,674.644,674.621,674.209,674.376,674.862,674.624,674.375,675.054,674.332,674.243,674.624,674.693,674.583,674.243,674.565,674.069,674.435,674.131,674.97,673.055,674.708,0,674.226,674.603,674.2,674.329,0,674.552,674.209,674.521,674.375,674.226,674.933,674.7,674.668,0,674.693,674.489,674.607,674.644,674.789,674.439,0,674.243,674.106,674.827,674.922,674.57,673.055,674.49,674.523,674.212,674.712,674.807,674.593,674.375,674.542,674.986,0,674.511,674.369
Control,673.118,674.337,674.681,674.245,674.027,674.078,674.999,674.88,674.655,673.808,674.336,674.688,674.633,674.137,675.085,674.078,674.33,674.559,674.528,674.568,674.33,674.615,674.448,674.51,674.037,675.075,673.118,674.676,0,674.027,674.562,674.894,674.387,0,674.245,673.808,674.568,674.137,674.027,674.467,674.272,674.64,0,674.757,674.726,674.674,674.562,674.922,674.337,0,674.33,674.157,674.917,674.313,674.449,673.118,674.618,674.504,674.624,674.647,674.688,674.576,674.137,674.5,674.948,0,674.614,674.569
Control,672.97,674.368,674.674,674.39,674.182,674.175,674.788,674.744,674.611,674,674.385,674.851,674.684,674.383,675.108,674.175,674.297,674.562,674.61,674.469,674.297,674.626,674.273,674.559,674.137,674.971,672.97,674.743,0,674.182,674.59,674.657,674.396,0,674.443,674,674.469,674.383,674.182,674.866,674.491,674.563,674.297,674.78,674.516,674.689,674.62,674.965,674.368,0,674.297,674.303,674.865,674.482,674.462,672.97,674.493,674.5,674.499,674.6,674.678,674.526,674.383,674.578,674.895,674.481,674.58,674.42
Control,673.006,674.357,674.722,674.149,0,674.301,674.917,674.795,674.643,674.068,674.375,674.857,674.681,674.374,675.151,674.301,674.31,674.504,674.592,674.52,674.31,674.616,674.326,674.572,674.216,675.081,673.006,674.736,0,674.126,674.577,674.739,674.427,0,674.149,674.068,674.48,674.374,674.126,674.633,674.544,674.563,0,674.794,674.517,674.75,674.577,674.864,674.357,0,674.31,674.219,674.851,674.238,674.523,673.006,674.498,674.504,674.635,674.69,674.759,674.668,674.374,674.461,674.93,0,674.604,674.418
Infected,673.285,674.379,674.596,673.977,673.98,673.918,674.71,674.737,674.682,673.863,674.531,674.81,674.631,674.268,674.986,673.918,674.27,674.432,674.303,674.537,674.27,674.603,674.307,674.513,674.07,674.948,673.285,674.783,674.379,673.98,674.574,674.551,674.486,0,673.977,673.863,674.432,674.268,673.98,674.443,674.433,674.671,0,674.692,674.662,674.622,674.574,674.822,674.439,0,674.27,673.857,674.853,674.895,674.303,673.285,674.591,674.432,674.555,674.598,674.81,674.523,674.268,674.561,674.866,0,674.562,674.38
Infected,673.056,674.335,674.82,674.122,674.024,674.127,674.888,674.74,674.61,674.168,674.483,674.885,674.722,674.277,675.012,674.127,674.269,674.343,674.592,674.52,674.269,674.545,674.263,674.571,674.062,675.052,673.056,674.765,674.524,674.024,674.619,674.636,674.517,0,674.122,674.168,674.507,674.277,674.024,674.612,674.392,674.71,0,674.756,674.535,674.593,674.619,674.808,674.335,0,674.269,674.344,674.845,674.81,674.524,673.056,674.541,674.343,674.503,674.66,674.847,674.564,674.277,674.585,675.037,0,674.488,674.489
Infected,673.222,674.586,674.629,674.147,0,674.32,674.687,674.972,674.642,674.234,674.631,674.621,674.621,674.082,674.821,674.32,674.311,674.46,674.618,674.444,674.311,674.546,674.394,674.596,674.48,674.662,673.222,674.697,0,673.879,674.692,674.775,674.536,0,674.147,674.234,674.444,674.082,673.879,674.667,674.48,674.618,674.311,674.593,674.344,674.639,674.692,674.732,674.586,0,674.311,674.507,674.647,674.561,674.608,673.222,674.51,674.46,674.538,674.685,674.621,674.578,674.082,674.529,674.855,674.394,674.516,674.666
Infected,673.127,674.533,674.559,673.961,674.112,674.059,674.633,674.834,674.649,673.934,674.57,674.724,674.649,674.379,674.865,674.059,674.288,674.394,674.609,674.493,674.288,674.57,674.243,674.543,674.195,674.592,673.127,674.75,674.533,674.112,674.661,674.599,674.37,0,673.961,673.934,674.483,674.379,674.112,674.55,674.543,674.689,0,674.586,674.326,674.614,674.661,674.764,674.567,0,674.288,674.443,674.752,674.867,674.6,673.127,674.464,674.394,674.53,674.716,674.724,674.638,674.379,674.513,674.972,0,674.522,674.546
Infected,673.159,674.412,674.587,674.215,674.189,674.13,674.752,674.94,674.665,673.767,674.371,674.808,674.574,674.039,675.188,674.13,674.285,674.604,674.581,674.59,674.285,674.61,674.514,674.603,674.355,674.98,673.159,674.775,674.413,674.189,674.64,674.91,674.254,0,674.215,673.821,674.491,674.039,674.189,674.695,674.404,674.59,0,674.689,674.682,674.714,674.64,674.929,674.412,0,674.285,674.094,674.832,673.21,674.474,673.159,674.574,674.604,674.54,674.702,674.808,674.607,674.039,674.484,674.888,0,674.638,674.444
Infected,673.15,674.495,674.672,674.265,674.056,674.122,674.671,674.866,674.661,674.026,674.556,674.819,674.656,674.294,674.944,674.122,674.331,674.391,674.67,674.481,674.331,674.559,674.371,674.639,674.307,674.786,673.15,674.75,674.529,674.056,674.65,674.877,674.353,0,674.265,674.026,674.472,674.294,674.056,674.839,674.553,674.594,0,674.685,674.338,674.598,674.65,674.793,674.495,0,674.331,674.362,674.826,674.664,674.542,673.15,674.457,674.391,674.471,674.663,674.743,674.626,674.294,674.452,674.841,0,674.528,674.491
Infected,673.128,674.48,674.602,674.465,673.896,673.934,674.883,675.004,674.638,673.778,674.542,674.696,674.611,674.044,674.928,673.934,674.304,674.394,674.634,674.567,674.304,674.507,674.423,674.63,674.315,674.84,673.128,674.687,0,673.896,674.688,674.711,674.375,0,674.49,673.778,674.531,674.044,673.896,674.947,674.572,674.592,0,674.661,674.511,674.653,674.688,674.838,674.48,0,674.304,674.199,674.764,674.21,674.563,673.128,674.566,674.394,674.491,674.684,674.611,674.643,674.044,674.561,674.973,0,674.506,674.525
Infected,673.258,674.44,674.714,674.142,674.102,674.117,674.915,674.765,674.572,674.185,674.517,674.648,674.628,674.131,674.915,674.117,674.324,674.373,674.588,674.624,674.324,674.59,674.513,674.622,674.176,675.027,673.258,674.793,674.406,674.102,674.652,674.557,674.411,0,674.142,674.185,674.462,674.131,674.102,674.722,674.398,674.679,0,674.622,674.647,674.668,674.601,674.803,674.489,0,674.324,674.256,674.882,674.866,674.558,673.258,674.59,674.373,674.598,674.691,674.648,674.529,674.131,674.42,674.997,0,674.529,674.486
Infected,673.152,674.479,674.714,674.406,674.079,674.401,674.826,674.841,674.636,674.281,674.453,674.843,674.641,674.403,674.927,674.401,674.299,674.354,674.569,674.609,674.299,674.61,674.328,674.514,674.428,674.764,673.152,674.765,674.41,674.079,674.607,674.533,674.36,0,674.503,674.399,674.529,674.403,674.079,675.004,674.687,674.652,0,674.586,674.435,674.718,674.607,674.837,674.479,0,674.299,674.341,674.838,674.892,674.482,673.152,674.503,674.354,674.564,674.718,674.812,674.565,674.403,674.636,674.925,0,674.516,674.531
Infected,673.34,674.325,674.789,674.265,674.111,674.03,674.864,674.785,674.608,674.091,674.521,674.665,674.667,674.334,674.984,674.03,674.316,674.443,674.563,674.629,674.316,674.608,674.383,674.587,674.258,674.853,673.34,674.734,0,674.111,674.613,674.762,674.366,0,674.265,674.091,674.536,674.334,674.111,674.828,674.632,674.652,0,674.681,674.584,674.746,674.613,674.903,674.325,0,674.316,674.44,674.852,674.926,674.502,673.34,674.629,674.443,674.619,674.711,674.665,674.598,674.334,674.529,675.04,0,674.552,674.485
Infected,673.229,674.511,674.673,674.43,674.166,674.303,674.924,674.788,674.653,674.333,674.471,674.658635,674.673,674.298,675.018,674.303,674.34,674.488,674.647,674.589,674.34,674.646,674.335,674.601,674.355,674.824,673.229,674.664,674.511,674.166,674.592,674.82,674.367,0,674.463,674.333,674.503,674.298,674.166,675.028,674.656,674.685,0,674.601,674.481,674.681,674.592,674.899,674.543,0,674.34,674.482,674.783,674.801,674.519,673.229,674.524,674.488,674.54,674.727,674.658635,674.566,674.298,674.598,674.899,0,674.621,674.634
Infected,673.066,674.521,674.914,674.157,0,674.17,674.916,674.851,674.569,674.291,674.494,675.017,674.586,674.196,674.916,674.17,674.216,674.362,674.645,674.605,674.216,674.458,674.32,674.622,674.123,674.796,673.066,674.886,674.487,673.869,0,674.636,674.382,0,674.157,674.291,674.401,674.196,673.869,674.791,674.587,674.632,0,674.622,674.522,674.647,674.634,674.878,674.533,0,674.216,674.323,674.911,675.067,674.487,673.066,674.461,674.362,674.489,674.673,674.985,674.619,674.196,674.549,675.348,0,674.406,674.479
Infected,673.186,674.475,674.781,674.258,0,674.157,674.963,674.714,674.599,674.233,674.513,674.671,674.635,674.459,674.963,674.157,674.3,674.416,674.616,674.633,674.3,674.516,674.425,674.647,674.192,674.889,673.186,674.91,674.475,673.873,674.616,674.746,674.247,0,674.258,674.24,674.406,674.459,673.873,674.917,674.707,674.633,0,674.647,674.533,674.657334,674.616,674.874,674.521,0,674.3,674.264,674.861,674.982,674.585,673.186,674.554,674.416,674.527,674.747,674.671,674.511,674.459,674.742,675.265,0,674.551,674.414
Infected,673.132,674.391,674.73,674.332,0,674.233,674.846,674.791,674.61,674.31,674.492,674.846,674.639,674.224,674.846,674.233,674.282,674.335,674.505,674.558,674.282,674.59,674.328,674.612,674.238,674.853,673.132,674.678,0,674.032,674.626,0,674.379,0,674.401,674.414,674.517,674.224,674.032,674.8,674.541,674.686,0,674.644,674.405,674.661,674.626,674.754,674.391,0,674.282,674.284,674.807,674.909,674.505,673.132,674.427,674.335,674.42,674.696,674.846,674.537,674.224,674.569,674.983,0,674.502,674.486
Infected,673.263,674.427,674.715,674.318,674.002,674.471,674.865,674.769,674.618,674.273,674.413,674.78,674.704,674.443,674.865,674.471,674.29,674.473,674.647,674.702,674.29,674.666,674.319,674.585,674.368,674.752,673.263,674.673,674.39,674.002,674.6,674.83,674.37,0,674.32,674.386,674.571,674.443,0,674.903,674.76,674.702,0,674.585,674.573,674.694,674.6,674.815,674.51,0,674.29,673.874,674.823,674.795,674.39,673.263,674.488,674.473,674.547,674.734,674.78,674.598,674.443,674.612,675.07,0,674.609,674.432
Infected,673.343,674.425,674.829,674.222,674.372,674.534,674.946,675.049,674.724,673.652,674.194,674.64,674.724,674.252,675.24,674.477,674.189,674.657,674.448,674.677,674.189,674.705,674.526,674.601,674.366,675.184,673.343,674.532,0,674.372,674.443,674.737,674.214,0,674.487,674.176,674.582,674.252,674.372,675.003,674.399,674.569,0,674.786,674.952,674.785,674.443,675.11,674.504,0,674.189,674.341,675.164,674.813,674.182,673.343,674.628,674.629,674.507,674.764,674.64,674.536,674.252,674.494,675.232,0,674.763,674.521
Infected,673.087,674.342,674.815,674.213,673.885,673.962,674.857,674.64,674.566,674.093,674.48,674.787,674.633,674.247,675.004,673.962,674.179,674.448,674.52,674.635,674.179,674.549,674.391,674.504,674.197,674.774,673.087,674.861,674.461,673.885,674.59,674.821,674.388,0,674.213,674.093,674.443,674.247,673.885,674.86,674.673,674.71,0,674.672,674.608,674.581,674.59,674.858,674.342,0,674.179,674.454,674.842,674.951,674.512,673.087,674.656,674.448,674.463,674.673,674.787,674.533,674.247,674.509,674.925,0,674.409,674.397
Infected,673.141,674.518,674.597,674.347,0,674.527,674.534,674.837,674.611,674.16,674.502,674.746,674.477,674.117,674.908,674.434,674.428,674.395,674.482,674.608,674.428,674.641,674.27,674.56,674.122,674.843,673.141,674.729,674.518,674.259,674.602,0,674.312,0,674.347,674.545,674.574,674.117,674.259,674.693,674.604,674.633,674.428,674.56,674.426,674.708,674.602,674.784,674.524,0,674.428,674.303,674.867,674.789,674.482,673.141,674.406,674.395,674.532,674.718,674.746,674.518,674.117,674.436,674.805,674.471,674.509,674.438
Infected,673.352,674.502,674.606,674.283,674.077,674.369,674.82,674.831,674.622,674.38,674.535,674.611,674.622,674.29,674.925,674.369,674.269,674.528,674.458,674.639,674.269,674.578,674.292,674.517,674.415,674.701,673.352,674.718,0,674.077,674.679,674.765,674.451,0,674.283,674.5,674.587,674.29,674.077,674.707,674.569,674.639,0,674.517,674.443,674.674,674.679,674.714,674.502,0,674.269,674.397,674.716,674.755,674.458,673.352,674.517,674.528,674.482,674.685,674.611,674.55,674.29,674.65,674.862,0,674.477,674.507
Infected,673.115,674.603,674.432,674.269,674.335,674.411,674.545,674.953,674.553,674.39,674.536,674.821,674.619,674.132,674.77,674.411,674.351,674.612,674.488,674.448,674.351,674.581,674.293,674.54,674.411,674.728,673.115,674.761,0,674.39,674.666,674.428,674.526,0,674.269,674.578,674.395,674.132,674.39,674.779,674.564,674.689,0,674.54,674.47,674.643,674.666,674.802,674.545,0,674.351,674.454,674.625,674.805,674.488,673.115,674.518,674.612,674.44,674.637,674.741,674.549,674.132,674.393,674.811,0,674.542,674.637
Infected,673.108,674.261,674.781,674.055,0,674.223,675.067,674.929,674.665,673.855,673.985,674.906,674.618,674.103,675.491,674.223,674.377,674.553,674.58,674.665,674.377,674.69,674.379,674.515,674.025,675.295,673.108,674.535,0,674.268,674.514,674.871,674.281,0,674.055,673.855,674.449,674.103,674.268,674.724,674.025,674.665,0,674.741,674.982,674.613,674.338,675.176,674.261,0,674.377,674.023,675.142,672.898,674.256,673.108,674.671,674.553,674.465,674.759,674.906,674.591,674.103,674.076,675.06,0,674.624,674.392
Infected,673.134,674.228,674.609,674.116,0,674.329,674.955,674.96,674.654,673.659,673.838,674.798,674.552,674.027,675.396,674.329,674.32,674.612,674.571,674.446,674.32,674.699,674.321,674.617,674.459,675.409,673.134,674.589,674.274,674.04,674.404,0,674.259,0,674.116,674.059,674.372,674.027,674.04,674.823,674.501,674.561,0,674.647,675.001,674.581,674.404,674.955,674.228,0,674.32,674.174,675.059,673.876,674.274,673.134,674.572,674.612,674.439,674.446,674.798,674.562,674.027,674.481,674.921,0,674.608,674.28
Infected,672.949,674.206,674.631,674.182,0,673.85,675,674.856,674.609,673.688,674.058,674.834,674.432,674.069,675.175,673.85,674.27,674.326,674.554,674.551,674.27,674.591,674.359,674.558,674.049,675.165,672.949,674.568,0,673.999,674.489,674.83,674.255,0,674.674,673.688,674.394,674.069,673.999,674.974,674.512,674.47,0,674.634,674.841,674.533,674.545,674.928,674.206,0,674.27,673.974,675.015,674.888,674.464,672.949,674.608,674.326,674.471,674.658029,674.834,674.56,674.069,674.478,674.988,0,674.549,674.301
Infected,673.217,674.376,674.678,674.252,0,674.602,674.965,674.82,674.672,673.927,674.056,674.779,674.511,674.201,675.459,674.487,674.287,674.746,674.512,674.577,674.287,674.786,674.357,674.589,673.957,675.244,673.217,674.498,674.303,674.507,674.482,674.762,674.289,0,674.386,674.329,674.481,674.201,674.507,674.513,674.427,674.577,0,674.803,674.92,674.588,674.504,675.083,674.376,0,674.287,674.146,674.835,673.628,674.303,673.217,674.561,674.53,674.517,674.787,674.779,674.618,674.201,674.295,675.006,0,674.755,674.345
Infected,673.102,674.318,674.598,674.403,0,674.259,674.871,674.775,674.618,674.079,674.407,674.753,674.707,674.469,675.028,674.259,674.309,674.444,674.642,674.624,674.309,674.6,674.323,674.557,674.146,674.947,673.102,674.735,674.443,674.039,674.632,674.769,674.359,0,674.403,674.079,674.65,674.469,674.039,674.646,674.472,674.624,0,674.597,674.49,674.674,674.632,674.752,674.318,0,674.309,674.185,674.776,674.373,674.492,673.102,674.449,674.444,674.546,674.688,674.753,674.599,674.469,674.632,674.876,0,674.565,674.325
Infected,673.951,674.301,674.782,674.178,0,674.295,674.951,674.654,674.442,674.167,674.56,674.671,674.585,673.733,675.028,674.295,674.184,674.273,674.265,674.401,674.184,674.579,674.343,674.515,673.891,674.877,673.951,674.806,674.301,674.298,674.567,674.595,674.203,0,674.302,674.302,674.294,673.733,674.298,674.396,674.575,674.705,0,674.64,674.64,674.544,674.567,674.845,674.386,0,674.184,674.177,674.736,674.968,674.265,673.951,674.544,674.273,674.573,674.599,674.671,674.609,673.733,674.224,674.912,0,674.595,674.412
Infected,673.643,674.546,674.797,674.073,0,674.059,674.916,674.733,674.569,674.214,674.545,674.779,674.644,673.977,675.032,674.059,674.177,674.234,674.402,674.437,674.177,674.537,674.502,674.584,674.148,674.78,673.643,674.773,674.531,674.137,674.641,674.684,674.378,674.669,674.106,674.214,674.275,673.977,674.137,674.658167,674.727,674.691,674.177,674.651,674.365,674.613,674.641,674.83,674.557,674.403,674.092,674.3,674.785,674.945,674.402,673.643,674.445,674.234,674.553,674.527,674.779,674.51,673.977,674.092,675.012,674.836,674.549,674.513
Infected,673.023,674.505,674.555,674.349,0,674.285,674.819,674.741,674.593,674.34,674.517,674.77,674.633,674.357,674.819,674.285,674.152,674.511,674.444,674.623,674.152,674.55,674.426,674.502,674.35,674.722,673.023,674.825,674.575,674.145,674.617,674.696,674.335,0,674.53,674.368,674.576,674.357,674.145,674.88,674.438,674.623,0,674.502,674.444,674.719,674.617,674.684,674.505,0,674.152,674.429,674.77,674.749,674.444,673.023,674.502,674.511,674.576,674.709,674.77,674.47,674.357,674.53,674.835,0,674.529,674.406
Infected,674.181,674.405,674.588,674.293,674.495,674.401,674.845,674.651,674.585,674.256,674.601,674.764,674.602,673.911,674.894,674.401,674.299,674.537,674.409,674.488,674.299,674.556,674.41,674.599,673.788,674.775,674.181,674.792,674.405,674.495,674.6,674.516,674.213,0,674.377,674.444,674.342,673.911,674.495,674.38,674.69,674.665,0,674.605,674.493,674.499,674.6,674.778,674.499,0,674.078,674.339,674.82,674.832,674.409,674.181,674.567,674.537,674.562,674.615,674.764,674.551,673.911,674.357,674.73,0,674.542,674.429
Infected,673.618,674.35,674.804,674.199,0,674.399,674.728,674.866,674.588,674.138,674.217,674.613,674.556,674.109,675.273,674.211,674.326,674.456,674.429,674.244,674.326,674.709,674.477,674.644,674.084,675.079,673.618,674.501,674.472,674.181,674.499,674.826,674.285,0,674.592,674.174,674.065,674.109,674.181,674.872,674.396,674.64,0,674.707,674.329,674.624,674.499,674.831,674.35,0,674.252,674.117,675.006,674.882,674.472,673.618,674.338,674.456,674.475,674.774,674.613,674.526,674.109,674.252,674.881,0,674.712,674.312
Infected,673.361,674.573,674.678,673.82,674.063,674.17,674.823,674.915,674.62,674.046,674.544,674.858,674.633,674.269,674.846,674.17,674.337,674.518,674.593,674.515,674.337,674.489,674.404,674.471,674.396,674.448,673.361,674.703,674.503,674.063,674.642,673.764,674.183,0,673.82,674.046,674.514,674.269,674.063,674.53,674.471,674.66,0,674.614,674.429,674.645,674.642,674.801,674.573,0,674.337,673.558,674.709,674.745,674.503,673.361,674.554,674.518,674.478,674.613,674.554,674.691,674.269,674.535,674.934,0,674.523,674.613
Infected,673.151,674.326,674.705,674.269,0,674.246,674.913,674.79,674.553,674.118,674.456,674.865,674.566,674.138,675.089,674.246,674.217,674.458,674.634,674.551,674.217,674.458,674.313,674.646,674.203,674.844,673.151,674.728,674.463,673.789,674.68,674.425,674.266,0,674.397,674.118,674.531,674.138,673.789,674.878,674.602,674.667,0,674.633,674.579,674.598,674.676,674.851,674.326,0,674.217,673.891,674.78,674.779,674.579,673.151,674.555,674.458,674.512,674.858,674.81,674.511,674.138,674.524,674.829,0,674.443,674.56
Infected,673.184,674.415,674.725,674.358,673.943,674.184,674.971,674.794,674.59,674.155,674.52,674.789,674.563,674.164,674.971,674.184,674.285,674.568,674.567,674.582,674.285,674.484,674.267,674.642,674.147,674.701,673.184,674.675,674.519,673.943,674.646,674.509,674.299,0,674.407,674.155,674.582,674.164,673.943,674.656,674.609,674.669,0,674.642,674.47,674.595,674.646,674.718,674.415,0,674.285,674.342,674.738,674.764,674.54,673.184,674.627,674.555,674.467,674.76,674.624,674.613,674.164,674.583,674.838,0,674.443,674.435
Infected,673.249,674.324,674.767,674.456,673.916,673.898,674.947,674.754,674.597,673.762,674.417,674.72,674.549,674.075,674.947,673.898,674.222,674.351,674.65,674.536,674.222,674.436,674.269,674.695,674.061,674.796,673.249,674.752,674.466,673.916,674.632,674.346,674.208,0,674.626,673.762,674.545,674.075,673.916,674.867,674.29,674.536,0,674.611,674.53,674.594,674.632,674.828,674.324,0,674.222,674.218,674.781,674.792,674.466,673.249,674.562,674.351,674.424,674.734,674.641,674.559,674.075,674.62,674.91,0,674.459,674.472
Infected,673.37,674.482,674.648,674.211,673.929,674.038,674.775,674.815,674.62,673.898,674.572,674.76,674.572,674.099,674.873,674.038,674.263,674.501,674.64,674.464,674.263,674.491,674.311,674.536,674.132,674.805,673.37,674.747,674.485,673.929,674.64,674.262,674.304,0,674.211,673.898,674.464,674.099,673.929,674.697,674.304,674.65,0,674.65,674.455,674.64,674.64,674.821,674.482,0,674.263,674.435,674.784,674.513,674.485,673.37,674.636,674.501,674.547,674.662,674.471,674.61,674.099,674.352,674.85,0,674.492,674.497
Infected,673.3,674.519,674.724,674.459,0,674.093,674.815,674.805,674.604,673.927,674.489,674.865,674.563,674.122,674.976,674.093,674.279,674.431,674.545,674.47,674.279,674.488,674.336,674.697,673.973,674.892,673.3,674.72,674.519,673.954,674.639,674.526,674.189,0,674.492,673.927,674.47,674.122,673.954,674.791,674.503,674.607,0,674.648,674.405,674.573,674.639,674.866,674.557,0,674.279,674.331,674.79,674.857,674.545,673.3,674.588,674.431,674.456,674.847,674.578,674.684,674.122,674.319,674.824,0,674.532,674.556
Infected,673.436,674.401,674.625,674.246,0,674.264,674.779,674.83,0,674.021,674.505,674.759,674.519,674.289,675.109,674.264,674.306,674.615,674.563,674.534,674.306,674.501,674.348,674.648,674.175,674.862,673.436,674.816,674.459,673.904,674.611,674.778,674.265,0,674.246,674.021,674.466,674.289,673.904,674.593,674.37,674.643,0,674.65,674.556,674.614,674.611,674.817,674.401,0,674.306,674.209,674.748,674.85,674.515,673.436,674.616,674.583,674.54,674.792,674.759,674.636,674.289,674.494,674.823,0,674.56,674.463
Infected,673.339,674.409,674.733,674.459,0,674.043,674.938,674.801,674.576,673.85,674.498,674.714,674.561,674.346,675.027,674.043,674.327,674.437,674.601,674.525,674.327,674.495,674.454,674.641,674.204,674.753,673.339,674.74,674.506,673.916,674.596,674.223,674.279,0,674.504,673.85,674.458,674.346,673.916,674.915,674.384,674.507,0,674.647,674.558,674.587,674.596,674.859,674.409,0,674.327,674.242,674.706,674.588,674.539,673.339,674.579,674.437,674.486,674.614,674.658793,674.671,674.346,674.381,674.888,0,674.525,674.47
Infected,673.28,674.515,674.749,674.364,674.109,674.364,674.867,674.851,674.617,674.317,674.524,674.578,674.607,674.107,674.867,674.364,674.23,674.541,674.532,674.574,674.23,674.509,674.227,674.595,674.175,674.564,673.28,674.71,674.585,674.109,674.617,674.313,674.319,0,674.409,674.317,674.574,674.107,674.109,674.629,674.522,674.639,0,674.653,674.448,674.54,674.617,674.74,674.515,0,674.23,673.908,674.709,674.782,674.585,673.28,674.533,674.541,674.374,674.721,674.578,674.622,674.107,674.493,674.844,0,674.516,674.561
Infected,673.286,674.412,674.705,674.028,0,674.276,674.867,674.819,674.627,674.024,674.329,674.826,674.499,674.055,675.041,674.276,674.191,674.46,674.403,674.551,674.191,674.529,674.284,674.642,674.085,674.978,673.286,674.764,674.377,674.128,674.567,674.715,674.208,0,674.028,674.024,674.498,674.055,674.128,674.706,674.241,674.364,0,674.648,674.571,674.642,674.567,674.857,674.541,0,674.191,674.378,674.863,674.808,674.377,673.286,674.582,674.46,674.476,674.749,674.458,674.591,674.055,674.054,674.852,0,674.577,674.431
Infected,673.358,674.515,674.705,674.307,674.553,674.678,674.579,674.926,674.629,674.334,674.511,674.747,674.417,674.193,674.888,674.678,674.279,674.574,674.474,674.603,674.279,674.548,674.235,674.655,674.084,674.83,673.358,674.643,674.423,674.573,674.637,674.159,674.406,0,674.307,674.541,674.635,674.193,674.573,674.432,674.44,674.603,0,674.631,674.53,674.617,674.542,674.753,674.574,0,674.279,674.145,674.827,674.449,674.423,673.358,674.579,674.574,674.293,674.653,674.747,674.621,674.193,674.531,674.796,0,674.638,674.507
Infected,673.293,674.467,674.757,674.129,0,674.034,674.916,674.772,0,673.805,674.489,674.355,674.57,674.14,675.099,674.034,674.278,674.456,674.713,674.508,674.278,674.473,674.399,674.597,674.058,674.916,673.293,674.83,674.49,673.915,674.568,674.682,674.226,0,674.129,673.805,674.46,674.14,673.915,674.704,674.584,674.461,0,674.61,674.604,674.557,674.568,674.839,674.467,0,674.278,674.032,674.864,674.707,674.49,673.293,674.62,674.456,674.532,674.832,674.355,674.655,674.14,674.424,674.844,0,674.493,674.484
