% Title: HIV, All Species
% Creator: Neena Parikh
%
@RELATION infection

@ATTRIBUTE class {Control,GDS3660,GDS1450,GDS1209}
@ATTRIBUTE SIP1 NUMERIC
@ATTRIBUTE ESM1 NUMERIC
@ATTRIBUTE PEX13 NUMERIC
@ATTRIBUTE CRK NUMERIC
@ATTRIBUTE TAF7 NUMERIC
@ATTRIBUTE ABI2 NUMERIC
@ATTRIBUTE E2F3 NUMERIC
@ATTRIBUTE CLPX NUMERIC
@ATTRIBUTE NOP56 NUMERIC
@ATTRIBUTE ARF4 NUMERIC
@ATTRIBUTE ATRX NUMERIC
@ATTRIBUTE EID1 NUMERIC
@ATTRIBUTE NSL1 NUMERIC
@ATTRIBUTE GGPS1 NUMERIC
@ATTRIBUTE ABI1 NUMERIC
@ATTRIBUTE DAG1 NUMERIC

@DATA
GDS1209,115.6675,542.6325,64.3674999999999,3804.0675,192.7325,115.6675,30.8674999999999,206.7325,192.7325,1143.8675,93.2674999999999,635.2325,444.3325,3804.0675,93.2674999999999,115.6675
GDS1209,8.73250000000007,709.4325,297.8325,2804.0675,294.1325,315.9675,345.7325,498.2325,294.1325,861.6675,818.6675,574.9325,251.1325,2804.0675,818.6675,8.73250000000007
GDS1209,67.8325,638.9325,400.3325,4148.5675,68.5675,737.2675,228.9325,228.9325,68.5675,2293.7675,540.7675,319.4325,658.8325,4148.5675,540.7675,67.8325
GDS1209,42.6325000000001,621.3325,455.1325,2780.7675,159.4675,42.6325000000001,98.7325000000001,108.9325,159.4675,1707.9675,536.2675,380.4325,236.5675,2780.7675,536.2675,42.6325000000001
GDS1209,124.2325,643.9325,277.3675,4772.5675,350.1325,97.5325,465.1325,565.9325,350.1325,1235.4675,454.3675,411.6325,462.6325,4772.5675,454.3675,124.2325
GDS1209,244.7675,588.3325,93.8325,2075.9675,437.3325,109.9675,243.0325,370.1325,437.3325,1097.0675,394.5325,244.7675,396.6325,2075.9675,396.6325,35.3674999999999
GDS1209,318.8325,687.8325,226.5675,3926.3675,14.8674999999999,8.33249999999998,94.6325000000001,218.1325,14.8674999999999,953.2675,447.2675,361.0325,417.4325,3926.3675,447.2675,318.8325
GDS1209,135.1325,767.1325,23.5675,2349.6675,184.0325,135.1325,843.5675,167.7325,184.0325,976.7675,744.0675,661.1325,230.6325,2349.6675,744.0675,135.1325
GDS1209,128.4675,691.4325,233.8325,7165.6675,490.1325,128.4675,100.3325,229.1325,450.0325,4472.2675,273.9675,526.5325,709.2325,7165.6675,273.9675,128.4675
GDS1209,336.6325,726.6325,409.3325,4087.6675,204.0675,336.6325,654.7675,373.6325,204.0675,389.8675,1054.3675,644.5325,224.4325,4087.6675,1054.3675,336.6325
GDS1209,102.1325,720.2325,310.9325,3820.8675,52.1325000000001,102.1325,254.6675,209.9675,52.1325000000001,2014.9675,694.6675,235.6325,496.9325,3820.8675,694.6675,102.1325
GDS1209,466.9325,729.0325,78.1325000000001,4201.5675,431.7675,466.9325,269.8325,593.8325,431.7675,1836.1675,166.7675,546.3325,376.5325,4201.5675,166.7675,466.9325
GDS1209,47.2674999999999,644.5325,232.7325,8852.0675,328.9675,47.2674999999999,482.3675,482.3675,328.9675,5514.9675,380.9675,181.4325,617.7325,8852.0675,380.9675,47.2674999999999
GDS1209,54.0325,620.3325,415.8325,4347.2675,132.0325,131.4325,279.3325,279.3325,132.0325,1885.6675,60.4325,54.0325,554.9325,4347.2675,60.4325,131.4325
GDS1209,2.5675,647.4325,264.7675,6622.4675,951.7675,2.5675,58.7674999999999,70.5325,951.7675,3195.0675,619.6675,340.6325,702.1325,6622.4675,619.6675,2.5675
GDS1209,466.1675,688.3325,51.1325000000001,3074.9675,326.8325,466.1675,1063.0675,579.6675,326.8325,2133.7675,71.8325,30.8674999999999,554.6325,3074.9675,71.8325,466.1675
GDS1209,170.2325,765.3325,78.0674999999999,5069.5675,72.4675,146.4325,376.0325,376.0325,72.4675,2887.9675,338.6675,375.9325,631.4325,5069.5675,338.6675,170.2325
GDS1209,83.2674999999999,693.3325,41.0675,2299.6675,239.0325,228.6675,381.1325,668.9325,239.0325,270.0675,352.9675,558.1325,423.5325,2299.6675,352.9675,83.2674999999999
GDS1209,62.8325,572.0325,202.4325,5402.0675,378.0325,689.9675,69.8674999999999,227.6325,378.0325,5389.6675,166.4675,264.8325,234.6325,5402.0675,23.2674999999999,62.8325
GDS1209,65.6675,712.9325,35.6675,9022.8675,576.2675,65.6675,197.0325,332.8325,576.2675,4162.9675,300.6675,513.2325,489.1325,9022.8675,300.6675,65.6675
GDS1209,21.0675,49.1325000000001,242.5325,4284.8675,149.8325,303.4325,142.1675,142.1675,149.8325,2282.8675,986.1675,21.0675,676.2325,4284.8675,986.1675,303.4325
GDS1209,104.6675,695.9325,328.4675,5798.6675,989.9675,158.1675,168.9325,168.9325,989.9675,3051.9675,422.4675,493.4325,580.4325,5798.6675,422.4675,104.6675
GDS1209,171.0325,628.4325,206.1325,1899.8675,1686.4675,163.5675,82.9675,505.2325,1686.4675,585.5675,296.5675,588.8325,42.8325,1899.8675,296.5675,171.0325
GDS1209,202.4675,603.1325,557.4325,3646.2675,846.7675,688.5675,387.3675,211.5325,846.7675,931.5675,441.9675,611.7325,408.6325,3646.2675,441.9675,202.4675
GDS1209,189.6675,528.8325,128.9675,4041.7675,142.9675,532.0675,40.7674999999999,371.0325,142.9675,672.6675,212.4675,292.8325,314.1325,4041.7675,212.4675,189.6675
GDS1209,104.6325,564.8325,30.6325000000001,4298.9675,347.4675,280.4675,309.4675,309.4675,347.4675,1742.6675,1267.0675,117.0325,282.3325,4298.9675,1267.0675,104.6325
GDS1209,213.2325,568.7325,7.13250000000005,3535.4675,537.7675,136.2675,135.7675,135.7675,537.7675,1434.8675,2071.2675,358.8325,54.9325,3535.4675,2071.2675,213.2325
GDS1209,160.1325,498.2325,60.6325000000001,2520.2675,527.1675,87.7674999999999,17.7325000000001,189.7325,527.1675,1972.2675,2071.8675,160.1325,452.3325,2520.2675,2071.8675,229.7325
GDS1209,64.8325,550.4325,81.7674999999999,3906.4675,77.1675,313.2675,861.1675,861.1675,77.1675,2414.4675,1036.9675,64.8325,78.0325,3906.4675,1036.9675,138.9325
