% Title: HIV, All Species Singlenet
% Creator: Neena Parikh
%
@RELATION infection

@ATTRIBUTE class {Control,Infected}
@ATTRIBUTE SF1 NUMERIC
@ATTRIBUTE COL1A1 NUMERIC
@ATTRIBUTE RBBP6 NUMERIC
@ATTRIBUTE TSPAN4 NUMERIC
@ATTRIBUTE ZMYND8 NUMERIC
@ATTRIBUTE RPS6KA2 NUMERIC
@ATTRIBUTE GLI2 NUMERIC
@ATTRIBUTE ZC3H13 NUMERIC
@ATTRIBUTE TSPYL1 NUMERIC
@ATTRIBUTE KLF9 NUMERIC
@ATTRIBUTE G3BP1 NUMERIC
@ATTRIBUTE BCAP29 NUMERIC
@ATTRIBUTE GLMN NUMERIC
@ATTRIBUTE ARNT NUMERIC
@ATTRIBUTE VEZF1 NUMERIC
@ATTRIBUTE TERF2 NUMERIC
@ATTRIBUTE SKP2 NUMERIC
@ATTRIBUTE PPPDE2 NUMERIC
@ATTRIBUTE ELAVL1 NUMERIC
@ATTRIBUTE HN1L NUMERIC
@ATTRIBUTE PDE4D NUMERIC
@ATTRIBUTE H6PD NUMERIC
@ATTRIBUTE GAB1 NUMERIC
@ATTRIBUTE ITSN1 NUMERIC
@ATTRIBUTE PDLIM5 NUMERIC
@ATTRIBUTE EPHB2 NUMERIC
@ATTRIBUTE BPTF NUMERIC
@ATTRIBUTE RCHY1 NUMERIC
@ATTRIBUTE FETUB NUMERIC
@ATTRIBUTE ARID5B NUMERIC
@ATTRIBUTE NOL7 NUMERIC
@ATTRIBUTE NFATC2IP NUMERIC
@ATTRIBUTE CDHR1 NUMERIC
@ATTRIBUTE KPNB1 NUMERIC
@ATTRIBUTE RIF1 NUMERIC
@ATTRIBUTE B9D1 NUMERIC
@ATTRIBUTE ACACB NUMERIC
@ATTRIBUTE XPNPEP1 NUMERIC
@ATTRIBUTE ABCC1 NUMERIC
@ATTRIBUTE IRF1 NUMERIC
@ATTRIBUTE PIK3IP1 NUMERIC
@ATTRIBUTE PLK1 NUMERIC
@ATTRIBUTE RSU1 NUMERIC
@ATTRIBUTE TTLL5 NUMERIC
@ATTRIBUTE PAFAH1B3 NUMERIC
@ATTRIBUTE WHSC1 NUMERIC
@ATTRIBUTE APC NUMERIC
@ATTRIBUTE SLC16A3 NUMERIC
@ATTRIBUTE TBCB NUMERIC
@ATTRIBUTE MYCN NUMERIC
@ATTRIBUTE CLMN NUMERIC
@ATTRIBUTE LIFR NUMERIC
@ATTRIBUTE MRPS11 NUMERIC
@ATTRIBUTE UBE2K NUMERIC
@ATTRIBUTE PLD1 NUMERIC
@ATTRIBUTE NDUFB8 NUMERIC
@ATTRIBUTE MATR3 NUMERIC
@ATTRIBUTE RYR2 NUMERIC
@ATTRIBUTE DGCR14 NUMERIC
@ATTRIBUTE LPIN1 NUMERIC
@ATTRIBUTE SP1 NUMERIC
@ATTRIBUTE MEF2D NUMERIC
@ATTRIBUTE ITGB3 NUMERIC
@ATTRIBUTE TCERG1 NUMERIC
@ATTRIBUTE TRAFD1 NUMERIC
@ATTRIBUTE XAF1 NUMERIC
@ATTRIBUTE PDK3 NUMERIC
@ATTRIBUTE WT1 NUMERIC
@ATTRIBUTE DLG5 NUMERIC
@ATTRIBUTE CARS NUMERIC
@ATTRIBUTE SLC16A1 NUMERIC
@ATTRIBUTE SNTB2 NUMERIC
@ATTRIBUTE PVR NUMERIC
@ATTRIBUTE TYRO3 NUMERIC
@ATTRIBUTE ACACA NUMERIC
@ATTRIBUTE TRAP1 NUMERIC
@ATTRIBUTE CAMSAP1 NUMERIC
@ATTRIBUTE CACNB2 NUMERIC
@ATTRIBUTE BTF3 NUMERIC
@ATTRIBUTE PASK NUMERIC
@ATTRIBUTE AAK1 NUMERIC
@ATTRIBUTE HIC1 NUMERIC
@ATTRIBUTE PSMD4 NUMERIC
@ATTRIBUTE TPP2 NUMERIC
@ATTRIBUTE CDC42EP4 NUMERIC
@ATTRIBUTE KALRN NUMERIC
@ATTRIBUTE MTMR9 NUMERIC
@ATTRIBUTE CARD10 NUMERIC
@ATTRIBUTE HCCS NUMERIC
@ATTRIBUTE ESR1 NUMERIC
@ATTRIBUTE MCM3AP NUMERIC
@ATTRIBUTE ASAP2 NUMERIC
@ATTRIBUTE RPLP1 NUMERIC
@ATTRIBUTE EBP NUMERIC
@ATTRIBUTE ARMC6 NUMERIC
@ATTRIBUTE RPLP2 NUMERIC
@ATTRIBUTE MDN1 NUMERIC
@ATTRIBUTE PATZ1 NUMERIC
@ATTRIBUTE SKIL NUMERIC
@ATTRIBUTE SLCO3A1 NUMERIC
@ATTRIBUTE OSBPL3 NUMERIC
@ATTRIBUTE RGS12 NUMERIC
@ATTRIBUTE GTPBP10 NUMERIC
@ATTRIBUTE GBX2 NUMERIC
@ATTRIBUTE PRLR NUMERIC
@ATTRIBUTE GNL1 NUMERIC
@ATTRIBUTE ERCC1 NUMERIC
@ATTRIBUTE SRPK2 NUMERIC
@ATTRIBUTE INPP5F NUMERIC
@ATTRIBUTE KDM5D NUMERIC
@ATTRIBUTE TTBK2 NUMERIC
@ATTRIBUTE AMD1 NUMERIC
@ATTRIBUTE ESR2 NUMERIC
@ATTRIBUTE RPS6KA4 NUMERIC
@ATTRIBUTE PTPRM NUMERIC
@ATTRIBUTE FNBP1 NUMERIC
@ATTRIBUTE ANKRD26 NUMERIC
@ATTRIBUTE UBR2 NUMERIC
@ATTRIBUTE RSL1D1 NUMERIC
@ATTRIBUTE BMP10 NUMERIC
@ATTRIBUTE SLC4A8 NUMERIC
@ATTRIBUTE VPS13A NUMERIC
@ATTRIBUTE PSKH1 NUMERIC
@ATTRIBUTE EEF1D NUMERIC
@ATTRIBUTE EIF2S1 NUMERIC
@ATTRIBUTE FAM65B NUMERIC
@ATTRIBUTE HSPH1 NUMERIC
@ATTRIBUTE RAB3B NUMERIC
@ATTRIBUTE MCM6 NUMERIC
@ATTRIBUTE ELOVL6 NUMERIC
@ATTRIBUTE DUSP1 NUMERIC
@ATTRIBUTE ZDHHC18 NUMERIC
@ATTRIBUTE C1QBP NUMERIC
@ATTRIBUTE NUP50 NUMERIC
@ATTRIBUTE SLC25A13 NUMERIC

@DATA
Control,1652.0445,113.3555,1554.4445,165.4555,324.5555,259.5555,357.6555,179.1555,287.4555,192.8555,264.7555,768.9445,149.3555,310.7555,367.2555,374.5555,307.6555,219.9555,283.3555,340.7555,1554.4445,259.5555,287.4555,291.2555,29.7445,44.2555,267.8555,310.7555,259.5555,154.8555,360.9555,26.4555,390.1555,185.4555,71.6555,373.4555,287.3445,244.4555,275.1555,133.4555,347.9555,381.9555,328.9555,131.0555,363.6555,129.6555,29.7445,3428.4445,47.1445000000001,348.8555,236.2555,217.0555,241.7555,366.3445,367.6555,370.8555,264.7555,331.8555,1079.2445,199.8445,218.0555,262.1555,175.4445,323.3555,379.8555,236.6555,253.9555,621.7445,83.0554999999999,390.2555,75.8445,41.1445000000001,280.4555,1079.2445,287.4555,353.6555,217.0555,290.5555,287.3445,26.4555,86.7555,310.5555,386.1555,313.4555,240.3555,86.7555,376.4555,9.35549999999995,768.9445,621.7445,379.2555,8.44450000000006,1079.2445,320.0555,347.8555,359.8555,338.2555,1587.2445,621.7445,368.2555,4492.7445,328.9555,123.1555,3428.4445,365.1555,132.7555,201.8555,313.4555,377.4555,1534.2445,174.3555,768.9445,1079.2445,371.7555,360.4555,131.0555,389.4555,53.2555,344.1555,322.8555,367.2555,366.3445,177.4555,237.3555,22.4555,71.6555,117.0555,9.35549999999995,149.3555,242.6555,268.4555,267.8555,378.6555,83.0554999999999,1554.4445
Control,1715.6445,69.2555,1636.9445,197.9555,190.4555,298.7555,365.5555,130.6555,257.3555,319.6555,269.0555,954.3445,196.6555,334.7555,388.6555,360.9555,299.6555,213.5555,309.4555,359.9555,1636.9445,298.7555,257.3555,301.6555,6.75549999999998,36.7555,217.5555,338.8555,298.7555,207.8555,349.6555,5.55549999999994,369.8555,125.2555,96.0554999999999,369.2555,279.4445,294.9555,257.3555,87.3554999999999,299.6555,371.0555,346.8555,224.4555,355.4555,121.8555,6.75549999999998,3245.9445,44.3554999999999,330.4555,256.4555,235.9555,226.0555,457.3445,376.7555,379.4555,280.5555,314.5555,1285.8445,164.1445,188.5555,226.3555,109.8445,339.4555,385.6555,201.5555,262.2555,615.7445,81.9555,389.1555,15.4555,34.6445000000001,315.5555,1285.8445,305.4555,371.1555,235.9555,329.4555,279.4445,5.55549999999994,36.1445000000001,283.2555,355.6555,365.8555,287.7555,36.1445000000001,361.2555,71.5554999999999,954.3445,615.7445,394.0555,31.5445,1285.8445,344.4555,374.9555,378.1555,326.6555,1298.6445,615.7445,381.4555,4262.9445,346.8555,261.0555,3245.9445,334.6555,201.9555,226.9555,361.7555,361.9555,1586.8445,158.9555,954.3445,1285.8445,370.4555,387.1555,224.4555,383.3555,46.2555,334.4555,382.7555,388.6555,457.3445,97.9555,236.2555,34.6445000000001,96.0554999999999,157.1555,71.5554999999999,196.6555,235.3555,173.7555,217.5555,384.8555,81.9555,1636.9445
Control,2600.4445,373.9555,3730.0445,201.8555,302.7555,288.2555,333.2555,244.2555,324.0555,301.2555,175.1555,2320.2445,135.9555,51.1555,373.9555,376.8555,289.8555,188.6555,340.8555,370.5555,3730.0445,288.2555,324.0555,314.0555,34.1555,59.6555,272.0555,51.1555,288.2555,355.9555,260.3555,49.5445,359.2555,135.0555,21.1555,316.5555,41.8554999999999,300.2555,263.8555,72.4555,254.1555,390.3555,339.1555,247.8555,389.2555,137.4555,34.1555,3772.7445,134.5555,367.9555,225.9555,175.0555,254.7555,707.3445,367.7555,382.8555,344.7555,290.9555,2985.6445,145.7555,173.9555,244.2555,154.0445,320.5555,370.0555,47.7555,303.6555,486.9445,321.1555,381.5555,54.7445,41.8554999999999,340.7555,2985.6445,340.7555,394.3555,175.0555,288.1555,59.7555,49.5445,4.95549999999997,274.1555,383.0555,343.5555,295.9555,4.95549999999997,390.3555,72.4555,2320.2445,486.9445,391.8555,222.6555,2985.6445,314.9555,391.3555,372.1555,347.0555,1463.9445,486.9445,394.4555,2798.9445,339.1555,274.7555,3772.7445,375.0555,122.6555,240.1555,343.5555,379.4555,1415.4445,310.6555,2320.2445,2985.6445,392.6555,335.9555,247.8555,390.1555,85.7555,361.3555,335.4555,373.9555,707.3445,269.8555,268.8555,55.0445,227.7555,113.8555,290.1555,135.9555,289.3555,322.5555,272.0555,382.9555,129.1555,3730.0445
Control,2802.0445,379.3555,3800.1445,46.8554999999999,328.1555,350.5555,353.3555,245.9555,343.4555,295.3555,174.1555,2261.0445,162.0555,106.3555,387.0555,352.2555,220.8555,141.4555,330.0555,387.7555,3800.1445,350.5555,343.4555,317.6555,33.9555,34.8554999999999,376.7555,106.3555,350.5555,308.7555,331.2555,79.1445000000001,376.2555,133.8555,17.2445,312.2555,30.7445,259.1555,319.4555,78.1555,321.3555,391.6555,348.8555,281.7555,387.8555,138.4555,33.9555,3500.2445,104.7555,381.7555,206.3555,165.4555,254.7555,778.3445,370.0555,380.2555,361.8555,294.3555,3089.1445,49.1555,233.9555,292.3555,195.7445,339.6555,384.0555,54.6555,319.0555,489.1445,305.2555,389.6555,89.7445,30.7445,325.1555,3089.1445,348.7555,394.6555,165.4555,327.4555,70.1555,79.1445000000001,46.9555,248.6555,391.2555,387.9555,313.8555,96.5554999999999,389.7555,78.1555,2261.0445,489.1445,389.9555,204.3555,3089.1445,330.5555,376.0555,380.8555,319.0555,1623.1445,489.1445,375.7555,2988.9445,348.8555,318.7555,3500.2445,349.6555,135.8555,263.7555,382.8555,380.7555,1473.3445,347.6555,2261.0445,3089.1445,394.1555,359.8555,281.7555,390.0555,136.8555,356.8555,363.9555,387.0555,778.3445,240.0555,271.6555,103.1445,212.6555,130.1555,235.2555,162.0555,187.6555,337.4555,376.7555,373.3555,151.5555,3800.1445
Control,2227.6445,352.0555,4581.4445,66.2555,275.8555,174.1555,366.8555,352.3555,312.2555,260.1555,175.3555,3122.8445,111.6555,263.3555,374.8555,312.3555,267.1555,254.9555,279.1555,359.9555,4581.4445,346.4555,312.2555,308.4555,207.0445,43.7445,343.2555,354.2555,346.4555,43.8445,224.8555,54.3554999999999,381.5555,244.4555,153.5555,210.7555,227.0555,187.7555,273.7555,4.05549999999994,145.4555,365.7555,285.9555,261.0555,368.8555,168.0445,207.0445,3020.6445,155.0555,275.8555,55.1445000000001,136.8555,306.9555,351.2445,323.9555,266.4555,287.6555,330.1555,4668.9445,197.4445,147.1555,40.1555,34.7445,358.8555,304.1555,184.3555,275.8555,372.7445,356.3555,335.0555,128.4445,227.0555,266.4555,4668.9445,335.7555,383.7555,136.8555,198.4555,196.7555,54.3554999999999,356.0445,294.7555,366.7555,349.9555,249.0555,356.0445,367.5555,4.05549999999994,3122.8445,372.7445,370.1555,117.6555,4668.9445,105.2555,348.4555,358.1555,336.0555,2001.7445,372.7445,352.7555,2916.0445,348.4555,279.9555,3020.6445,348.7555,117.9555,164.6555,335.0555,334.9555,1372.3445,100.9555,3122.8445,4668.9445,375.5555,277.1555,261.0555,377.0555,137.3445,298.4555,260.0555,374.8555,351.2445,370.0555,375.5555,263.5555,330.3555,191.5555,133.5555,183.8555,222.2555,319.6555,343.2555,387.1555,104.4555,4581.4445
Control,2739.3445,347.4555,5095.1445,30.3554999999999,131.5555,295.4555,367.6555,345.5555,365.0555,279.2555,30.4555,3523.9445,88.1555,267.0555,347.4555,334.8555,235.0555,208.1555,255.3555,378.0555,5095.1445,317.6555,352.7555,334.5555,16.5445,97.9555,370.9555,267.0555,317.6555,255.3555,281.1555,134.8555,359.1555,131.5555,3.04450000000003,233.0555,149.6555,214.4555,238.2555,69.6555,111.9555,383.9555,292.6555,288.5555,378.2555,17.9555,16.5445,3458.5445,213.8555,131.5555,53.0554999999999,225.6555,248.0555,651.5445,361.3555,343.4555,292.5555,260.5555,5170.4445,258.1445,123.2555,275.8555,10.3554999999999,286.7555,356.6555,67.5554999999999,131.5555,520.7445,375.6555,336.1555,108.9445,149.6555,320.6555,5170.4445,318.2555,391.9555,16.8554999999999,325.8555,200.4555,134.8555,100.5445,271.8555,380.9555,375.7555,297.3555,100.5445,352.7555,17.0445,3523.9445,520.7445,384.8555,207.4555,5170.4445,261.6555,387.4555,363.2555,303.9555,1966.4445,520.7445,392.2555,3465.1445,292.6555,68.7555,3458.5445,359.5555,188.8555,177.7555,341.4555,375.9555,1710.1445,321.0555,3523.9445,5170.4445,386.5555,289.4555,288.5555,386.1555,2.64450000000005,327.0555,308.4555,347.4555,651.5445,319.9555,359.9555,268.3555,267.6555,131.4555,17.0445,156.5555,222.9555,381.2555,370.9555,387.7555,90.4555,5095.1445
Infected,1959.0445,115.6555,1653.6445,188.8555,226.9555,260.5555,331.5555,155.1555,303.6555,297.0555,138.7555,918.0445,237.4555,304.0555,388.8555,351.3555,305.1555,211.2555,318.1555,338.5555,1653.6445,260.5555,303.6555,241.1555,58.7555,32.8445,120.2555,370.7555,260.5555,256.5555,347.6555,36.5554999999999,390.4555,203.0555,30.5554999999999,293.1555,267.6445,256.3555,303.6555,128.6555,267.0555,377.3555,379.7555,154.8555,346.6555,182.2555,58.7555,2879.8445,75.1445000000001,359.3555,179.1555,164.9555,154.4555,433.1445,331.9555,367.3555,293.4555,297.3555,1279.0445,209.8445,146.9555,244.6555,5.64450000000005,305.4555,388.3555,153.0555,263.5555,421.8445,82.1555,367.2555,154.0445,15.6445000000001,305.6555,1279.0445,292.6555,391.6555,164.9555,311.1555,267.6445,36.5554999999999,45.8445,278.1555,311.1555,341.6555,289.6555,45.8445,380.7555,86.2555,918.0445,421.8445,390.7555,34.6445000000001,1279.0445,269.2555,385.7555,374.8555,346.6555,1358.0445,421.8445,393.8555,4253.9445,379.7555,116.9555,2879.8445,359.3555,282.5555,218.5555,341.6555,375.7555,1576.8445,127.5555,918.0445,1279.0445,366.2555,350.5555,154.8555,382.4555,123.9555,311.1555,315.5555,388.8555,433.1445,104.5555,320.5555,93.8554999999999,30.5554999999999,75.1555,86.2555,237.4555,191.1555,274.3555,120.2555,383.3555,82.1555,1653.6445
Infected,2297.3445,119.6555,1873.3445,79.5554999999999,207.0555,273.1555,315.4555,203.0555,323.8555,285.1555,244.1555,838.7445,80.7555,319.3555,382.8555,355.9555,311.8555,165.1555,324.9555,347.6555,1873.3445,273.1555,323.8555,289.5555,122.8555,121.7555,253.2555,319.3555,273.1555,223.9555,369.8555,37.3554999999999,375.5555,201.8555,91.4555,317.6555,128.7445,270.8555,299.6555,157.9555,265.4555,385.0555,350.6555,234.5555,330.7555,170.2555,122.8555,2974.8445,76.9445000000001,267.6555,233.7555,198.1555,213.3555,284.5445,374.7555,375.4555,293.9555,293.8555,1246.3445,363.4445,151.1555,227.7555,51.9445000000001,230.9555,369.7555,116.3555,248.2555,565.6445,47.5554999999999,333.4555,223.4445,73.6445000000001,306.6555,1246.3445,273.3555,392.0555,198.1555,312.2555,128.7445,37.3554999999999,33.1445000000001,263.3555,379.4555,385.8555,271.4555,33.1445000000001,379.0555,89.2555,838.7445,565.6445,392.6555,50.6555,1246.3445,282.2555,343.7555,377.3555,336.9555,1267.5445,565.6445,376.3555,3303.2445,343.7555,220.3555,2974.8445,384.2555,264.4555,227.6555,272.6555,370.2555,1653.0445,102.2555,838.7445,1246.3445,390.3555,365.4555,234.5555,385.9555,71.9555,313.1555,313.0555,382.8555,284.5445,104.5555,331.3555,172.6555,91.4555,80.7555,89.2555,80.7555,204.8555,276.2555,253.2555,370.6555,47.5554999999999,1873.3445
Infected,1768.6445,151.4555,2055.0445,155.7555,239.5555,302.4555,352.8555,75.9555,305.7555,322.4555,225.4555,926.4445,207.6555,263.0555,384.0555,364.2555,288.9555,192.7555,338.7555,361.8555,2055.0445,302.4555,305.7555,308.7555,60.3554999999999,6.45549999999997,240.5555,263.0555,302.4555,151.4555,364.8555,51.8554999999999,390.3555,187.5555,106.3555,293.7555,150.6445,317.8555,305.7555,180.0555,356.3555,385.6555,340.2555,154.5555,353.3555,171.0555,60.3554999999999,3857.0445,14.8554999999999,239.5555,249.4555,266.6555,289.8555,89.1555,376.3555,378.1555,333.4555,297.9555,1500.4445,211.9445,251.7555,287.6555,281.1445,314.0555,388.3555,127.8555,239.5555,480.6445,80.3554999999999,364.3555,31.2445,50.4445000000001,276.4555,1500.4445,291.7555,392.3555,255.7555,321.5555,150.6445,51.8554999999999,100.4445,280.4555,321.5555,365.6555,259.4555,100.4445,378.2555,125.8555,926.4445,480.6445,390.7555,68.5554999999999,1500.4445,358.0555,356.6555,375.9555,317.8555,1773.6445,480.6445,394.2555,4802.8445,340.2555,217.5555,3857.0445,342.3555,274.1555,248.6555,365.6555,373.8555,1673.6445,264.7555,926.4445,1500.4445,360.3555,369.6555,154.5555,392.9555,1.45549999999997,321.5555,368.5555,384.0555,89.1555,205.3555,274.4555,144.0445,106.3555,147.6555,125.8555,207.6555,228.0555,44.8554999999999,240.5555,362.0555,80.3554999999999,2055.0445
Infected,2039.7445,174.6555,1952.6445,184.7555,285.0555,301.6555,351.8555,95.3554999999999,315.8555,337.1555,205.7555,911.5445,189.8555,230.6555,383.4555,291.7555,317.5555,158.5555,340.7555,383.2555,1952.6445,301.6555,315.8555,298.7555,114.0555,79.3554999999999,257.4555,230.6555,301.6555,322.5555,360.3555,22.4555,350.6555,275.2555,56.0554999999999,325.3555,234.4445,270.2555,291.8555,171.2555,350.3555,382.8555,330.6555,179.9555,360.4555,128.2555,114.0555,3338.1445,47.8445,285.0555,232.0555,223.5555,260.8555,92.5554999999999,348.4555,362.1555,319.8555,307.6555,1348.6445,537.0445,113.1555,176.0555,321.9445,175.8555,366.8555,116.6555,285.0555,436.4445,135.4555,375.6555,62.5445,38.0554999999999,288.6555,1348.6445,270.4555,375.1555,198.8555,303.4555,234.4445,22.4555,125.6445,248.2555,369.8555,347.1555,238.5555,125.6445,378.8555,87.3554999999999,911.5445,436.4445,387.3555,88.9555,1348.6445,332.7555,354.5555,375.3555,287.6555,1706.9445,436.4445,393.7555,4555.5445,330.6555,330.8555,3338.1445,340.1555,299.4555,232.2555,347.1555,369.2555,1523.2445,354.5555,911.5445,1348.6445,373.1555,351.1555,179.9555,374.4555,17.2445,308.1555,314.3555,383.4555,92.5554999999999,85.3554999999999,303.1555,71.5554999999999,96.4555,62.9555,87.3554999999999,189.8555,260.7555,129.7555,257.4555,351.8555,135.4555,1952.6445
Infected,1864.0445,128.6555,1956.9445,151.8555,296.8555,305.2555,325.4555,213.1555,320.7555,311.0555,39.0445,1659.2445,165.0555,189.0555,340.6555,334.3555,226.4555,225.0555,243.8555,341.8555,1956.9445,305.2555,320.7555,275.9555,39.0445,109.1555,360.5555,189.0555,305.2555,331.8555,360.1555,167.1555,365.4555,200.3555,100.9555,269.2555,286.5445,90.4555,320.7555,114.5555,346.6555,383.3555,250.9555,280.0555,354.8555,161.5555,30.9445000000001,4439.7445,109.1555,316.6555,116.4555,157.1555,251.7555,272.3555,350.5555,371.3555,325.9555,343.5555,2264.3445,521.9445,256.1555,194.3555,210.9445,245.9555,371.0555,177.9555,297.1555,70.7445,143.6555,325.1555,535.6445,133.9445,288.8555,2264.3445,153.0555,379.5555,145.5555,310.2555,286.5445,230.0555,16.9555,272.5555,372.9555,361.8555,327.9555,16.9555,369.6555,70.7555,1659.2445,70.7445,381.5555,164.9555,2264.3445,341.9555,322.6555,356.9555,297.1555,2050.1445,70.7445,384.9555,5151.9445,250.9555,78.1555,4439.7445,370.8555,210.2555,203.5555,361.8555,376.4555,2128.9445,237.7555,1659.2445,2264.3445,378.9555,380.6555,280.0555,361.4555,88.1445000000001,327.2555,275.4555,340.6555,165.0555,173.2555,303.0555,225.1555,100.9555,171.2555,70.7555,165.0555,3.54450000000003,302.9555,341.8555,378.3555,143.6555,1956.9445
Infected,1838.9445,213.1555,2378.6445,94.3554999999999,250.0555,253.0555,322.8555,184.3555,334.0555,305.0555,36.5554999999999,1551.2445,143.6555,219.1555,349.3555,326.3555,311.8555,159.6555,278.3555,355.1555,2378.6445,334.6555,334.0555,306.0555,36.5554999999999,163.2555,378.6555,219.1555,334.6555,184.8555,372.1555,211.4555,392.3555,143.0555,68.6555,249.9555,155.7445,158.2555,334.0555,117.3555,242.9555,353.6555,293.6555,244.2555,297.4555,147.9555,77.2555,5115.9445,62.9555,250.0555,56.2555,215.5555,337.1555,297.9555,367.7555,369.3555,355.0555,311.0555,2341.1445,642.6445,177.8555,308.2555,314.8445,243.2555,372.1555,135.1555,250.0555,207.8445,197.9555,306.3555,280.5445,95.3445,296.0555,2341.1445,169.9555,390.4555,171.5555,306.9555,155.7445,211.4555,134.7445,342.9555,329.0555,311.5555,295.7555,134.7445,377.2555,117.3555,1551.2445,207.8445,387.8555,232.5555,2341.1445,249.2555,333.8555,375.4555,296.0555,2024.6445,207.8445,392.6555,5906.2445,293.6555,70.8554999999999,5115.9445,383.2555,250.7555,278.6555,311.5555,370.8555,2043.7445,356.5555,1551.2445,2341.1445,385.7555,349.5555,244.2555,381.9555,37.0445,329.0555,299.2555,349.3555,143.6555,209.8555,325.3555,129.9555,103.4555,154.8555,181.3555,143.6555,104.6555,190.2555,355.1555,344.1555,117.2555,2378.6445
Infected,2256.4445,170.0555,1581.9445,268.8555,268.4555,322.9555,308.4555,138.1555,339.9555,283.6555,110.0555,1236.8445,139.7555,251.9555,361.5555,307.7555,293.2555,186.7555,297.7555,320.6555,1581.9445,322.9555,339.9555,327.3555,0.14450000000005,69.5554999999999,282.8555,251.9555,322.9555,268.1555,359.9555,137.6555,381.4555,126.5555,167.3555,308.5555,342.9445,210.6555,286.8555,166.0555,362.6555,377.2555,358.0555,193.8555,385.0555,84.0554999999999,0.14450000000005,3261.4445,1.74450000000002,268.4555,188.2555,165.1555,364.4555,583.8445,346.9555,358.8555,308.2555,274.5555,1900.2445,400.3445,240.8555,248.7555,173.4445,241.3555,371.4555,145.9555,226.3555,293.7445,216.7555,321.1555,265.4445,9.14450000000005,288.9555,1900.2445,262.8555,389.3555,148.2555,306.4555,342.9445,137.6555,366.2445,235.9555,312.9555,365.4555,238.7555,366.2445,381.1555,14.4445000000001,1236.8445,293.7445,390.1555,137.8555,1900.2445,374.0555,333.7555,372.6555,281.8555,1038.9445,293.7445,393.8555,4136.2445,333.7555,121.0555,3261.4445,357.8555,181.0555,187.5555,365.1555,372.8555,1614.8445,146.0555,1236.8445,1900.2445,344.3555,349.6555,193.8555,375.2555,50.7445,312.9555,300.8555,361.5555,583.8445,238.4555,283.6555,102.8445,167.3555,99.7555,14.4445000000001,139.7555,177.2555,203.7555,282.8555,362.1555,183.9555,1581.9445
Infected,2263.3445,87.3554999999999,1289.3445,188.7555,253.0555,228.2555,337.7555,232.4555,321.5555,246.7555,134.0555,1483.8445,88.2555,259.5555,334.2555,345.6555,234.9555,207.7555,253.4555,342.5555,1289.3445,317.1555,321.5555,323.9555,53.8554999999999,31.9555,252.8555,259.5555,317.1555,167.7555,373.1555,1.15549999999996,390.5555,199.8555,96.7555,268.4555,209.7445,296.9555,321.5555,56.4555,284.2555,382.5555,373.4555,190.6555,353.2555,173.5555,53.8554999999999,3673.3445,33.3554999999999,253.0555,205.1555,193.0555,326.7555,321.7445,366.1555,317.8555,283.1555,223.2555,1822.4445,662.0445,216.0555,280.1555,202.4445,205.9555,347.5555,140.1555,253.0555,305.6445,249.6555,360.1555,324.2445,0.955499999999972,317.8555,1822.4445,225.8555,389.6555,109.4555,281.3555,209.7445,1.15549999999996,146.2445,308.0555,302.5555,307.6555,228.4555,146.2445,377.8555,2.35549999999995,1483.8445,305.6445,389.5555,123.4555,1822.4445,334.1555,355.7555,370.2555,296.9555,1314.9445,305.6445,391.2555,4187.3445,355.7555,240.5555,3673.3445,350.0555,199.8555,230.0555,307.6555,376.1555,1816.6445,176.8555,1483.8445,1822.4445,358.2555,304.8555,190.6555,389.1555,139.8445,302.5555,290.1555,346.3555,321.7445,204.5555,280.4555,78.8554999999999,96.7555,127.1555,2.35549999999995,88.2555,250.5555,184.5555,252.8555,339.1555,183.8555,1289.3445
Infected,2710.7445,372.9555,4317.3445,27.6555,260.8555,309.1555,344.5555,152.7555,314.4555,312.8555,62.8554999999999,2378.7445,44.2555,139.7555,389.5555,367.3555,292.2555,135.4555,311.1555,383.7555,4317.3445,309.1555,314.4555,322.3555,24.1555,93.8554999999999,374.7555,139.7555,309.1555,352.0555,359.0555,35.3554999999999,383.2555,24.1555,21.2445,315.7555,51.8445,219.6555,298.0555,101.9555,264.6555,387.4555,326.2555,315.8555,375.8555,149.8555,61.9555,3794.7445,148.1555,260.8555,115.4555,243.8555,374.8555,531.6445,344.4555,373.7555,332.0555,284.9555,3276.6445,49.5445,166.9555,260.9555,429.4445,291.1555,333.3555,157.8555,260.8555,251.7445,324.4555,358.7555,149.6445,51.8445,361.9555,3276.6445,301.3555,393.0555,180.7555,310.2555,52.3554999999999,35.3554999999999,50.5554999999999,281.7555,380.1555,383.9555,300.0555,50.5554999999999,370.6555,101.9555,2378.7445,251.7445,370.6555,245.7555,3276.6445,380.0555,336.2555,379.5555,302.6555,1576.4445,251.7445,394.1555,3403.7445,326.2555,155.5555,3794.7445,349.1555,248.8555,240.7555,374.9555,380.2555,1648.6445,335.3555,2378.7445,3276.6445,382.5555,349.0555,315.8555,393.3555,37.2555,349.1555,350.4555,389.5555,531.6445,258.6555,299.6555,5.15549999999996,248.9555,130.2555,210.0555,44.2555,132.9555,368.8555,374.7555,387.0555,178.2555,4317.3445
