% Title: HIV, All Species Singlenet
% Creator: Neena Parikh
%
@RELATION infection

@ATTRIBUTE class {Control,Infected}
@ATTRIBUTE RASD2 NUMERIC
@ATTRIBUTE S1PR3 NUMERIC
@ATTRIBUTE B2M NUMERIC
@ATTRIBUTE KCNIP2 NUMERIC
@ATTRIBUTE SERINC2 NUMERIC
@ATTRIBUTE GRB2 NUMERIC
@ATTRIBUTE TRIM47 NUMERIC
@ATTRIBUTE TMEM176B NUMERIC
@ATTRIBUTE CP NUMERIC
@ATTRIBUTE CKLF NUMERIC
@ATTRIBUTE DDAH1 NUMERIC
@ATTRIBUTE DAK NUMERIC
@ATTRIBUTE RNF181 NUMERIC
@ATTRIBUTE SSTR1 NUMERIC
@ATTRIBUTE CPPED1 NUMERIC
@ATTRIBUTE CD53 NUMERIC
@ATTRIBUTE MACF1 NUMERIC
@ATTRIBUTE PLD4 NUMERIC
@ATTRIBUTE FGFRL1 NUMERIC
@ATTRIBUTE TMED4 NUMERIC
@ATTRIBUTE SPATA5 NUMERIC
@ATTRIBUTE GUSB NUMERIC
@ATTRIBUTE CDC23 NUMERIC
@ATTRIBUTE RBMS2 NUMERIC
@ATTRIBUTE PRSS23 NUMERIC
@ATTRIBUTE TNKS2 NUMERIC
@ATTRIBUTE FOXO1 NUMERIC
@ATTRIBUTE ARHGAP1 NUMERIC
@ATTRIBUTE ATP2B3 NUMERIC
@ATTRIBUTE ARHGAP23 NUMERIC
@ATTRIBUTE STK40 NUMERIC
@ATTRIBUTE TXNL1 NUMERIC
@ATTRIBUTE FOXC2 NUMERIC
@ATTRIBUTE TLE4 NUMERIC
@ATTRIBUTE ANKRD28 NUMERIC
@ATTRIBUTE FAHD1 NUMERIC
@ATTRIBUTE S100A10 NUMERIC
@ATTRIBUTE MRPL52 NUMERIC
@ATTRIBUTE RALGPS2 NUMERIC
@ATTRIBUTE HDDC3 NUMERIC
@ATTRIBUTE SLC40A1 NUMERIC
@ATTRIBUTE AGAP3 NUMERIC
@ATTRIBUTE PARP14 NUMERIC
@ATTRIBUTE EZH1 NUMERIC
@ATTRIBUTE ABI2 NUMERIC
@ATTRIBUTE COL11A1 NUMERIC
@ATTRIBUTE DCAF6 NUMERIC
@ATTRIBUTE SPATA6 NUMERIC
@ATTRIBUTE ESD NUMERIC
@ATTRIBUTE KTELC1 NUMERIC
@ATTRIBUTE ARMC10 NUMERIC
@ATTRIBUTE MAGI3 NUMERIC
@ATTRIBUTE NOP58 NUMERIC
@ATTRIBUTE RBM24 NUMERIC
@ATTRIBUTE CHCHD4 NUMERIC
@ATTRIBUTE SETBP1 NUMERIC
@ATTRIBUTE SYNJ2BP NUMERIC
@ATTRIBUTE TMEM150C NUMERIC
@ATTRIBUTE CDH23 NUMERIC
@ATTRIBUTE PRDM15 NUMERIC
@ATTRIBUTE FAM103A1 NUMERIC
@ATTRIBUTE RPS5 NUMERIC
@ATTRIBUTE MRS2 NUMERIC
@ATTRIBUTE MEX3C NUMERIC
@ATTRIBUTE EEF2 NUMERIC
@ATTRIBUTE DLG1 NUMERIC
@ATTRIBUTE CCDC126 NUMERIC
@ATTRIBUTE NRBF2 NUMERIC
@ATTRIBUTE ZNF503 NUMERIC
@ATTRIBUTE MSL1 NUMERIC
@ATTRIBUTE DTX3L NUMERIC
@ATTRIBUTE ATG10 NUMERIC
@ATTRIBUTE USP38 NUMERIC
@ATTRIBUTE CDCA7 NUMERIC
@ATTRIBUTE SFXN4 NUMERIC
@ATTRIBUTE KY NUMERIC
@ATTRIBUTE GALM NUMERIC
@ATTRIBUTE AZI2 NUMERIC
@ATTRIBUTE ADCY5 NUMERIC
@ATTRIBUTE FAM129B NUMERIC
@ATTRIBUTE PAN3 NUMERIC
@ATTRIBUTE RAB10 NUMERIC
@ATTRIBUTE ZBTB43 NUMERIC
@ATTRIBUTE RPS27A NUMERIC
@ATTRIBUTE ABHD13 NUMERIC
@ATTRIBUTE ZFP36L2 NUMERIC
@ATTRIBUTE SHANK2 NUMERIC
@ATTRIBUTE RNF207 NUMERIC
@ATTRIBUTE PCM1 NUMERIC
@ATTRIBUTE NPHP1 NUMERIC
@ATTRIBUTE ANKRD17 NUMERIC
@ATTRIBUTE THRB NUMERIC
@ATTRIBUTE COL27A1 NUMERIC
@ATTRIBUTE AP1M1 NUMERIC
@ATTRIBUTE DOCK1 NUMERIC
@ATTRIBUTE NOL6 NUMERIC
@ATTRIBUTE LTBR NUMERIC
@ATTRIBUTE CXCL16 NUMERIC
@ATTRIBUTE ENSA NUMERIC
@ATTRIBUTE AMN1 NUMERIC
@ATTRIBUTE CCNY NUMERIC
@ATTRIBUTE GABRG1 NUMERIC
@ATTRIBUTE PRKAR2A NUMERIC
@ATTRIBUTE FAM116A NUMERIC
@ATTRIBUTE ANKRD37 NUMERIC
@ATTRIBUTE ID4 NUMERIC
@ATTRIBUTE CASP3 NUMERIC
@ATTRIBUTE TPM3 NUMERIC
@ATTRIBUTE PRIC285 NUMERIC
@ATTRIBUTE ANGPT2 NUMERIC
@ATTRIBUTE USP9X NUMERIC
@ATTRIBUTE GPC3 NUMERIC
@ATTRIBUTE AS3MT NUMERIC
@ATTRIBUTE RBM39 NUMERIC
@ATTRIBUTE SUDS3 NUMERIC
@ATTRIBUTE RAPH1 NUMERIC
@ATTRIBUTE PROM2 NUMERIC
@ATTRIBUTE PXK NUMERIC
@ATTRIBUTE MPZL2 NUMERIC
@ATTRIBUTE REV3L NUMERIC
@ATTRIBUTE RGS5 NUMERIC
@ATTRIBUTE NSD1 NUMERIC
@ATTRIBUTE CSNK1A1 NUMERIC
@ATTRIBUTE TACR1 NUMERIC
@ATTRIBUTE A1BG NUMERIC
@ATTRIBUTE PURB NUMERIC
@ATTRIBUTE IGFBPL1 NUMERIC
@ATTRIBUTE LRTOMT NUMERIC
@ATTRIBUTE CREBZF NUMERIC
@ATTRIBUTE TNRC6A NUMERIC
@ATTRIBUTE AFF4 NUMERIC
@ATTRIBUTE CREBBP NUMERIC
@ATTRIBUTE EGR4 NUMERIC
@ATTRIBUTE CADM1 NUMERIC
@ATTRIBUTE RPL22 NUMERIC
@ATTRIBUTE CAMK2D NUMERIC
@ATTRIBUTE WIPF3 NUMERIC
@ATTRIBUTE OAF NUMERIC
@ATTRIBUTE SAMD4B NUMERIC
@ATTRIBUTE ZMIZ1 NUMERIC
@ATTRIBUTE ARHGEF7 NUMERIC
@ATTRIBUTE DAZAP2 NUMERIC
@ATTRIBUTE PNPO NUMERIC
@ATTRIBUTE SLC44A1 NUMERIC
@ATTRIBUTE MRPL51 NUMERIC
@ATTRIBUTE FXN NUMERIC
@ATTRIBUTE HDAC2 NUMERIC
@ATTRIBUTE MLLT10 NUMERIC
@ATTRIBUTE DNAJC5 NUMERIC
@ATTRIBUTE MMAA NUMERIC
@ATTRIBUTE HNRNPU NUMERIC
@ATTRIBUTE USP28 NUMERIC
@ATTRIBUTE NUP153 NUMERIC
@ATTRIBUTE ANAPC5 NUMERIC
@ATTRIBUTE CALCRL NUMERIC
@ATTRIBUTE LIMCH1 NUMERIC
@ATTRIBUTE FOXO3 NUMERIC
@ATTRIBUTE SCRT1 NUMERIC
@ATTRIBUTE GJB6 NUMERIC
@ATTRIBUTE PRKAA1 NUMERIC
@ATTRIBUTE MECOM NUMERIC
@ATTRIBUTE TRAF4 NUMERIC
@ATTRIBUTE SFRS18 NUMERIC
@ATTRIBUTE CSNK1G3 NUMERIC
@ATTRIBUTE TEAD2 NUMERIC
@ATTRIBUTE RPL37 NUMERIC
@ATTRIBUTE SPDYA NUMERIC
@ATTRIBUTE FOLR2 NUMERIC
@ATTRIBUTE SIX5 NUMERIC
@ATTRIBUTE EIF4E2 NUMERIC
@ATTRIBUTE ARL8A NUMERIC
@ATTRIBUTE PLBD2 NUMERIC
@ATTRIBUTE SEC63 NUMERIC
@ATTRIBUTE KRT19 NUMERIC
@ATTRIBUTE GATAD2A NUMERIC
@ATTRIBUTE PIGU NUMERIC

@DATA
Infected,261.3865,109.2135,81.0135,102.3135,142.2135,1073.3865,55.3865,164.4135,38.9865,42.9135,32.5865,201.9865,201.4865,22.2865,123.6865,201.4865,78.4865,149.9135,3204.0865,69.1135,100.9135,124.8865,100.8865,163.4865,410.5865,31.0135,93.1865,129.3135,102.0865,536.2865,119.9865,35.8865,163.0135,29.9135,499.2865,119.0865,122.9135,601.4865,57.5865,709.2865,423.2865,163.4865,148.0135,11.3865,125.7865,354.4865,125.2865,238.4865,862.3865,245.7865,185.6865,924.0865,591.5865,114.4135,171.0865,79.2865,20.7865,46.0135,15.6135,398.7865,203.0865,15867.3865,855.2865,855.2865,14588.3865,855.2865,862.3865,408.6865,1759.8865,238.4865,78.7865,128.1135,3204.0865,118.0135,764.0865,201.4865,22.2865,4.21349999999998,103.9135,1307.4865,108.9135,4381.3865,119.0865,120.1135,22.2865,310.6865,186.2135,501.1865,383.4865,122.9135,3.58650000000003,924.0865,956.6865,1101.7865,501.1865,62.1135,104.0135,107.7135,383.4865,725.2865,580.8865,150.9135,257.8865,170.5135,157.8135,28.4135,11.1865,670.2865,209.2865,39.5865,141.1865,173.9135,63.3135,322.5865,174.1865,203.0865,167.5135,656.0865,167.6865,104.6865,127.9865,344.4865,222.7865,31.7865,81.5135,128.3865,116.4135,199.7865,396.1865,580.8865,203.0865,349.7865,350.1865,134.5135,238.4865,1190.7865,89.0135,119.9865,310.6865,4.21349999999998,30.6865,104.6865,63.1135,46.0135,1523.4865,855.2865,133.6135,4.21349999999998,69.1135,201.9865,2313.5865,78.4865,3.68650000000002,1980.8865,5.38650000000001,109.2135,48.4865,14.4865,153.1135,756.0865,422.9865,398.7865,469.4865,504.9865,178.7865,18049.3865,158.9135,31.0865,3.41349999999997,366.7865,161.0865,1759.8865,246.9865,758.6865,300.0865,918.2865
Infected,212.9865,28.4135,86.6135,112.2135,24.7865,1413.6865,66.8135,167.5135,88.9865,44.4135,97.4865,372.3865,154.4865,20.3865,102.4865,88.5865,63.0865,161.2135,3515.1865,41.4135,109.5135,142.5865,152.6865,109.9865,329.4865,18.1135,100.1865,130.0135,62.8865,390.4865,201.5865,11.3865,178.6135,29.7135,355.3865,70.2865,147.1135,597.3865,282.1865,822.5865,897.5865,109.9865,125.9135,26.2135,59.6865,549.7865,245.9865,103.4865,810.7865,215.8865,325.6865,1086.6865,1262.2865,129.1135,158.9865,57.1865,40.7865,16.0135,12.5135,507.9865,236.1865,11562.3865,1269.2865,1269.2865,14418.0865,1269.2865,810.7865,401.8865,3205.5865,103.4865,144.4865,175.0135,3515.1865,125.7135,802.0865,88.5865,20.3865,2.31349999999998,89.8135,1613.7865,1.91349999999997,5803.3865,70.2865,155.6135,20.3865,516.4865,189.0135,421.8865,547.9865,147.1135,69.9865,1086.6865,1669.1865,897.5865,421.8865,96.8865,62.3135,8.71349999999998,547.9865,448.3865,830.4865,171.3135,677.0865,138.3135,173.8135,154.9865,48.9135,645.3865,165.4865,117.1865,270.1865,169.9135,20.8865,282.1865,88.7865,236.1865,170.7135,284.4865,190.8865,111.2865,91.5865,550.9865,118.0865,45.8865,138.6135,218.7865,13.7135,289.2865,550.9865,830.4865,102.0865,293.3865,299.8865,126.4135,103.4865,1035.1865,16.0135,201.5865,516.4865,2.31349999999998,87.1865,165.4865,42.2135,16.0135,966.9865,1269.2865,135.2135,2.31349999999998,41.4135,372.3865,2060.0865,63.0865,15.4135,1951.2865,6.01349999999999,28.4135,86.1865,16.5865,119.8135,951.8865,408.1865,507.9865,329.8865,600.7865,262.5865,17907.6865,172.0135,109.4865,29.1135,581.9865,209.5865,3205.5865,227.1865,508.2865,424.8865,883.9865
Infected,184.0865,23.2135,24.6135,124.6135,88.2135,1482.2865,27.4135,176.5135,140.7865,11.8865,175.0865,171.1865,205.4865,41.2135,105.6865,205.4865,99.9865,168.2135,3812.3865,8.21349999999998,83.8135,165.3865,96.7865,7.88650000000001,405.4865,54.5135,102.1865,143.2135,193.6865,1028.9865,301.1865,39.3135,166.6135,89.6865,295.1865,369.4865,149.8135,454.5865,80.9865,2403.7865,1351.9865,147.2135,145.1135,7.18650000000002,86.7865,661.8865,259.7865,106.5865,941.8865,260.6865,243.4865,972.5865,1078.0865,122.6135,112.2865,8.61349999999999,30.9865,50.9135,8.01349999999999,441.2865,411.8865,9402.1865,812.0865,812.0865,7484.8865,812.0865,941.8865,478.6865,2023.5865,106.5865,486.2865,118.3135,3812.3865,110.7135,767.3865,205.4865,41.2135,114.1865,41.8135,3077.0865,52.0135,7246.4865,369.4865,183.8135,41.2135,267.5865,157.3135,697.8865,234.7865,149.8135,5.98650000000001,972.5865,1895.6865,1778.3865,697.8865,45.0135,11.4865,42.3135,234.7865,553.6865,633.8865,157.8135,485.8865,170.2135,110.1135,164.1865,37.4135,1143.3865,75.5865,619.2865,105.1865,179.6135,26.5865,209.4865,209.4865,411.8865,178.3135,280.2865,105.8865,41.9135,80.0865,351.6865,550.0865,13.8865,144.2135,55.9865,33.9135,552.5865,351.6865,633.8865,245.4865,348.1865,541.2865,112.2135,106.5865,1330.6865,114.5135,107.5865,418.7865,89.6865,17.6865,12.2135,37.8135,23.2135,458.8865,812.0865,135.2135,21.6865,8.21349999999998,171.1865,2161.9865,99.9865,6.38650000000001,1464.3865,42.2135,23.2135,71.5865,31.9865,160.4135,594.8865,1573.0865,441.2865,552.5865,523.2865,189.0865,17360.2865,169.7135,8.48650000000001,6.41349999999997,400.4865,434.7865,2023.5865,245.8865,902.7865,421.2865,637.7865
Infected,146.6865,54.2135,14.8135,79.7135,2.98650000000001,1134.0865,131.5865,137.3135,403.6865,146.1865,117.6865,92.9865,177.6865,34.6865,211.5865,137.6865,12.0865,151.5135,3548.3865,23.4135,70.6135,50.3865,230.1865,230.4865,525.9865,26.0135,215.8865,116.8135,152.4865,1653.2865,525.8865,2.11349999999999,160.2135,87.6135,460.2865,255.4865,131.0135,417.9865,229.8865,701.9865,740.9865,230.4865,153.8135,83.4135,183.3865,469.5865,138.6865,323.4865,511.4865,319.2865,572.2865,818.9865,558.3865,105.9135,279.5865,120.0865,211.2865,56.6865,37.0135,242.5865,398.0865,12357.3865,373.4865,373.4865,14916.5865,373.4865,511.4865,670.2865,1417.8865,323.4865,93.5865,141.8135,3548.3865,131.9135,723.7865,137.6865,34.6865,197.8865,123.8865,2757.9865,167.8135,4480.6865,255.4865,153.0135,34.6865,209.2865,188.9135,347.2865,277.0865,131.0135,1.68650000000002,818.9865,409.6865,1460.2865,347.2865,58.4135,103.9135,63.0865,277.0865,1029.2865,510.7865,167.9135,539.2865,164.4135,33.7135,72.9865,158.0865,1046.2865,73.0865,37.5135,58.8865,174.1135,141.1135,229.8865,484.1865,398.0865,83.4135,655.8865,46.1135,13.5135,265.1865,553.8865,59.4865,109.4135,136.3135,123.9865,50.5135,483.7865,593.1865,510.7865,216.9865,298.2865,723.7865,161.6135,323.4865,1032.8865,56.3135,525.8865,267.4865,197.8865,33.5865,68.6865,56.9865,56.6865,1859.3865,373.4865,160.1135,197.8865,23.4135,92.9865,2574.1865,12.0865,15.9135,1650.9865,5.28650000000002,54.2135,484.1865,28.7865,180.2135,1051.8865,1449.3865,403.1865,483.7865,438.1865,181.3865,14310.7865,172.2135,35.4865,127.7865,771.0865,51.4865,1417.8865,361.8865,1638.1865,221.8865,577.5865
Control,1.5615,399.7025,163.6655,17.4595,32.0655,303.5705,134.0395,24.8135,580.2745,14.9415,484.2785,26.8265,1102.9275,0.180499999999999,188.4585,580.2745,20.5905,560.5495,3.3675,263.3845,67.4285,22.7755,189.8335,9.2685,7.7105,574.1555,156.9035,5.7635,752.1505,551.2005,209.7705,137.2405,59.4465,19.1865,843.4065,10.7655,540.0375,9.6055,31.1525,18.4645,235.5405,797.3815,6.2395,7.2255,67.3495,396.0285,574.1555,24.6915,26.7735,27.0745,138.6845,134.0395,26.3695,316.6025,7.0935,11.4025,217.0965,551.2005,7.7305,19.4955,14.9415,26.8815,22.6895,85.2975,17.9645,94.3685,187.1435,26.8975,124.2825,1005.2835,15.7725,256.4645,432.3435,139.6615,16.3445,79.4005,540.0375,855.8645,70.5705,3.2795,134.0395,11.2935,66.7455,705.7795,124.2825,479.6175,21.1235,797.3815,366.4465,52.8675,245.7985,20.7835,316.6025,14.9265,7.6425,1.5315,163.6655,3412.5425,19.6055,540.0375,189.1325,241.0455,367.0495,25.6845,195.3085,304.6045,44.8075,209.7705,26.3205,553.6355,227.6585,17.3935,62.6645,156.9035,399.7025,139.6615,20.9055,10.1345,316.6025,155.6425,16.6795,6.2655,1102.9275,23.0785,27.4275,104.4575,27.1565,396.0285,47.9595,3.2795,227.6585,235.5405,551.2005,23.1775,2.7475,622.8325,208.0485,25.5785,540.0375,38.9105,38.9105,518.7625,13.4155,83.5135,396.0285,441.0735,23.2145,158.5025,25.4505,59.4465,2.7475,195.3805,307.1855,14.9415,233.2895,622.8325,797.3815,20.3805,24.4055,17.0445,18.2315,316.6125,16.5255,432.3435,25.7335,31.1525,26.0995,12.5665,100.5485,476.9455,577.5455,59.4465,322.3565,7.3545,49.5695,11.2195
Control,32.5005,434.5125,319.5625,22.5175,135.7895,240.0715,199.2005,49.9675,830.3925,6.8405,193.7345,25.8955,1448.2115,5.2615,163.2575,830.3925,20.9455,160.3465,7.7865,277.3425,121.3995,14.4125,432.1095,22.6105,5.5095,475.1855,208.5285,3.0985,796.5255,1348.6145,240.0715,519.8735,65.1495,23.6955,178.9575,13.5315,1178.7605,21.8945,1.3485,13.3005,269.8435,745.6665,7.1345,3.1475,24.6125,385.8685,1178.7605,23.8975,25.8355,18.5595,162.0035,199.2005,26.4825,448.8255,23.8995,20.7115,159.0285,1348.6145,12.5605,26.1385,5.7515,26.4935,22.5285,54.8545,17.0875,49.6815,236.5235,22.1895,223.8855,1063.7935,979.5385,200.9265,506.0935,109.2935,6.4715,24.2485,1178.7605,476.1705,48.6905,9.5975,199.2005,9.4975,55.8375,594.8775,223.8855,494.9155,23.1725,745.6665,503.8755,54.8545,253.9245,15.7345,448.8255,16.4585,23.3315,16.5045,319.5625,1782.8965,14.5425,1178.7605,238.8695,323.3625,377.4875,23.0045,346.9045,370.4725,34.7915,240.0715,26.8465,700.4855,170.3655,13.4615,101.1585,208.5285,434.5125,109.2935,13.2085,2.0355,448.8255,104.2625,12.8625,21.5815,1448.2115,19.1235,27.2805,113.1955,24.2335,385.8685,12.8045,9.5975,160.0285,269.8435,1348.6145,20.2745,5.3505,620.4605,377.2645,27.0895,1178.7605,32.7765,44.8365,538.7735,17.0595,62.2635,385.8685,363.0695,156.5385,30.9055,23.1725,65.1495,5.3505,284.0755,357.3395,5.7515,402.0995,620.4605,745.6665,5.3285,24.7595,14.6915,15.9955,627.7025,18.8495,506.0935,26.0725,1.3485,18.2075,25.9905,137.9365,1260.8925,239.9585,128.4475,482.2375,0.908499999999997,60.9125,3.1015
Control,33.5715,177.9305,169.0055,2.6605,77.7495,298.1285,285.1795,26.9165,787.1305,23.4615,384.1675,21.5315,1254.5865,0.191499999999998,342.2855,787.1305,21.9405,360.6225,1.8225,157.8345,100.1565,16.3035,421.2905,23.7645,15.7065,512.3095,337.9805,20.6175,1095.4135,801.9205,111.3045,331.4175,76.4215,21.9355,1122.7415,7.6405,579.0675,10.7135,103.8715,18.3735,219.0745,1027.0585,16.6935,0.287499999999998,72.9205,486.1775,579.0675,20.7425,26.2275,26.4855,146.4555,285.1795,25.0465,368.8455,51.4445,21.7055,278.5385,801.9205,3.3675,17.6305,3.0985,24.2935,77.6555,100.0965,22.1665,20.1695,156.0755,26.4205,142.8855,1100.9065,3.4305,153.4845,438.3895,270.3605,5.9415,60.3875,579.0675,514.6385,88.2195,1.2475,285.1795,3.4815,87.4115,602.4775,119.3845,428.3535,7.5345,1027.0585,383.6865,100.0965,317.8825,31.7945,368.8455,25.4655,7.04049999999999,18.4345,122.7135,1686.1925,8.8635,579.0675,217.9955,541.7065,368.9845,18.8005,148.8595,263.1665,58.2225,111.3045,24.8085,519.9495,285.5775,11.9905,31.1615,337.9805,185.5335,270.3605,12.4985,10.4215,368.8455,148.6815,8.9255,18.1905,1254.5865,41.4815,27.4335,142.8855,27.1525,486.1775,39.1425,1.2475,176.7825,219.0745,801.9205,21.1595,7.4535,579.7835,149.1435,12.0625,579.0675,16.9115,35.3035,445.8355,19.7685,44.2225,486.1775,904.8005,122.0365,102.1355,7.5345,76.4215,7.4535,176.5345,190.8505,3.0985,235.4895,579.7835,1027.0585,24.3285,20.7105,14.1985,10.4855,335.6495,18.1145,438.3895,24.6245,103.8715,40.8725,15.9955,69.6735,625.3165,75.7635,76.4215,508.3775,4.9345,8.9445,50.6955
Control,24.9525,299.4835,395.9535,13.5305,114.2765,288.3335,109.2035,41.7345,980.3055,15.5245,317.5365,25.4005,1641.3875,11.7815,237.2155,980.3055,19.3055,360.9295,20.3015,136.8445,76.8435,21.7565,355.4685,0.0554999999999986,6.9505,567.3695,263.8915,5.1895,756.2815,963.6465,214.7745,204.3855,69.7055,32.9915,350.0165,15.6645,707.4145,18.9995,43.5375,17.6375,321.6225,611.9195,25.6145,12.7335,40.8235,617.3685,707.4145,24.4855,26.0285,21.0595,284.5245,109.2035,25.6835,348.2215,11.8705,9.3855,196.6315,963.6465,9.2275,16.3915,15.5245,17.8835,26.4615,74.3025,21.7075,90.0465,169.2815,19.8765,170.5175,850.8995,1.1825,156.8545,311.6865,49.1655,1.2355,60.2685,707.4145,642.5865,84.4955,3.0305,109.2035,10.0995,56.0445,732.8965,117.0255,448.7355,5.6335,611.9195,277.7455,53.7615,273.0385,13.6025,348.2215,14.1935,14.6855,0.437500000000004,224.8855,2991.9035,17.1895,707.4145,246.9735,362.3235,310.3015,21.8985,342.5275,395.3725,51.1235,214.7745,26.5485,860.7465,208.5965,8.9445,108.9725,263.8915,299.4835,83.5405,17.3025,8.6325,348.2215,101.1235,7.3015,16.8505,1641.3875,80.1645,26.9745,170.5175,23.9325,617.3685,44.3735,3.0305,208.5965,321.6225,963.6465,19.8765,4.1605,644.7975,172.5665,25.5645,707.4145,55.5075,61.6145,603.8735,25.4065,104.3275,617.3685,534.4555,42.8635,88.4725,5.6335,69.7055,4.1605,150.3715,214.2855,15.5245,268.1345,644.7975,611.9195,4.1635,23.4475,57.1335,7.3595,427.6505,19.6295,311.6865,24.5415,43.5375,19.3505,17.6795,144.9525,696.2695,358.8105,83.3935,341.0915,3.5865,66.9155,6.3405
Control,27.7265,377.2685,234.8405,3.1885,97.6565,280.6755,220.4535,21.9835,1097.8655,8.5245,386.4005,25.9475,1770.3935,3.1395,362.7615,1097.8655,19.3655,459.5305,1.9955,237.6955,97.8645,21.9145,380.4875,13.1265,10.3445,460.1425,327.7745,2.8495,902.7395,927.7045,255.7455,178.9725,63.0635,31.9395,395.2625,16.4605,788.4545,10.4745,32.9695,18.8985,245.7065,695.0505,24.4465,2.2005,51.4205,639.7365,788.4545,22.2815,26.3635,25.8825,211.5755,220.4535,24.6205,422.8025,6.1055,14.6545,227.9195,927.7045,22.6845,26.8945,8.5245,24.6915,26.4275,70.6165,25.3635,90.3985,119.3295,26.6565,144.5495,914.6695,54.7935,161.2055,301.6215,104.7285,6.0945,56.6275,788.4545,514.6735,82.7985,9.0095,220.4535,7.2235,46.6725,659.7645,135.9335,554.6125,11.6235,695.0505,349.3185,70.6165,320.8535,22.9135,422.8025,22.1455,22.5525,10.0015,205.6445,2459.2025,10.8755,788.4545,172.9905,448.0985,230.2795,21.3915,328.4775,513.6535,56.8245,255.7455,25.4105,1098.2215,339.8365,2.3855,77.5725,327.7745,377.2685,104.7285,23.3735,0.460500000000003,422.8025,127.7115,11.2095,17.7845,1770.3935,36.3345,27.3175,144.5495,23.8845,639.7365,14.5125,9.0095,248.1955,245.7065,927.7045,25.0415,8.10749999999999,755.6925,244.9235,26.0725,788.4545,51.8915,54.8475,581.8685,32.2685,79.4395,639.7365,695.0505,21.6945,46.4535,11.6235,63.0635,8.10749999999999,131.9875,205.3535,8.5245,290.1505,755.6925,616.2925,24.2965,21.1685,33.8025,8.0485,318.6885,6.8915,301.6215,25.1815,32.9695,40.0945,22.5555,113.2905,779.2675,308.8775,71.3855,460.0455,6.4345,26.8015,3.0345
Control,41.9035,479.6865,256.3165,12.5375,107.5575,361.7245,151.9175,24.0665,865.3585,14.4845,258.2195,22.8085,1669.8765,4.0495,227.5005,865.3585,19.2365,218.1785,1.4935,269.9145,170.8075,18.0195,390.6465,24.3195,4.1375,542.3755,377.6605,0.906499999999998,1029.3125,1239.5795,163.3815,550.7945,82.4135,54.6815,323.8875,9.3705,1538.3925,22.5035,47.7435,20.6115,246.1695,545.5195,19.1685,4.6015,32.6565,732.8335,1538.3925,17.7735,24.3965,27.2775,188.3665,151.9175,22.0975,442.3145,15.9035,24.3805,213.5835,1239.5795,11.7105,24.9375,7.9975,25.6935,25.3355,44.3115,26.7225,27.6165,174.5835,17.9535,269.9145,1083.6405,824.0085,91.5425,374.0685,38.3625,0.703500000000002,28.5465,1538.3925,366.1045,80.6645,0.197499999999998,151.9175,1.6585,23.7015,439.8645,269.9145,479.6865,20.2115,545.5195,694.9635,44.3115,341.7805,12.1835,442.3145,22.2675,12.7995,24.1335,256.3165,1372.8695,9.6915,1538.3925,177.1775,427.3165,155.6695,24.4695,320.4745,378.5885,16.0295,163.3815,25.3845,1276.6275,381.7915,33.2575,67.3335,377.6605,479.6865,87.7025,16.9165,6.2535,442.3145,67.7495,15.1685,17.8775,1669.8765,19.0515,27.2165,175.3835,26.5725,732.8335,18.6045,0.197499999999998,224.6395,246.1695,1239.5795,17.9535,21.4165,826.7785,257.6535,26.1315,1538.3925,30.2225,63.2105,527.9325,29.3585,64.4625,732.8335,349.7155,163.9755,27.1825,20.2115,82.4135,21.4165,198.7815,281.6145,7.9975,350.5935,826.7785,545.5195,16.3015,25.0975,41.7095,6.4005,426.0115,15.7655,374.0685,24.3385,47.7435,34.9865,18.9015,118.3335,1556.9475,89.7565,98.2345,816.9665,10.2205,78.4315,2.6575
