% Title: HIV, All Species
% Creator: Neena Parikh
%
@RELATION infection

@ATTRIBUTE class {Control,GDS3309,GDS3257,GDS3101,GDS3054,GDS2966,GDS2491,GDS2490,GDS2489,GDS1312}
@ATTRIBUTE TFAP2A NUMERIC
@ATTRIBUTE MKI67 NUMERIC
@ATTRIBUTE TGFA NUMERIC
@ATTRIBUTE SFTPB NUMERIC
@ATTRIBUTE HIST2H4B NUMERIC
@ATTRIBUTE TIMP3 NUMERIC
@ATTRIBUTE TRAPPC10 NUMERIC
@ATTRIBUTE TNFRSF25 NUMERIC

@DATA
GDS3257,432.084,431.969,431.69,435.923,431.69,431.69,435.308,431.969
GDS3257,433.451,431.947,432.395,435.839,431.947,432.395,435.2,431.947
GDS3257,433.422,431.245,434.497,435.276,431.245,433.422,435.203,431.245
GDS3257,432.126,432.847,431.327,435.615,431.327,431.327,435.016,432.847
GDS3257,432.668,431.872,432.789,435.987,431.872,432.668,434.663,431.872
GDS3257,432.632,432.133,432.464,435.677,432.133,432.464,435.03,432.133
GDS3257,432.367,432.912,432.307,435.146,432.307,432.307,433.512,432.912
GDS3257,432.214,432.486,431.69,435.773,431.69,431.69,434.105,432.486
GDS3257,431.366,433.236,430.602,434.925,430.602,430.602,433.281,433.236
GDS3257,432.469,432.551,431.932,435.712,431.932,431.932,434.693,432.551
GDS3257,432.139,431.091,432.209,435.61,431.091,432.139,434.718,431.091
GDS3257,433.012,431.582,433.099,435.955,431.582,433.012,434.088,431.582
GDS3257,432.378,432.744,431.782,435.837,431.782,431.782,434.023,432.744
GDS3257,432.419,432.608,431.642,435.363,431.642,431.642,434.004,432.608
GDS3257,432.332,432.98,432.41,435.807,432.41,432.332,434.943,432.98
GDS3257,432.181,433.796,431.43,435.788,431.43,431.43,435.05,433.796
Control,88.288,421.527,367.176,421.343,0,421.701,407.782,425.388
Control,85.9059999999999,417.423,352.559,419.51,1103.034,419.841,412.663,412.612
Control,51.966,421.711,358.126,422.463,834.044,428.238,413.606,422.352
GDS3101,127.096,417.426,337.876,422.794,795.854,420.222,412.683,421.541
GDS3101,152.216,409.482,353.984,416.057,1064.604,419.532,414.4,421.05
GDS3101,127.767,422.216,310.846,419.825,923.414,415.319,408.124,418.3
Control,166.624,148.307,221.772,153.806,148.307,166.624,203.035,148.307
Control,123.098,9.221,123.098,172.065,9.221,123.098,41.915,9.221
Control,186.608,32.741,186.608,207.73,32.741,186.608,181.433,32.741
Control,263.657,309.698,263.657,215.289,309.698,263.657,176.969,309.698
Control,215.086,353.77,215.086,225.941,353.77,215.086,223.744,353.77
GDS3054,205.787,301.905,205.787,236.132,301.905,205.787,183.397,301.905
GDS3054,229.222,13.024,282.949,177.676,13.024,229.222,176.699,13.024
GDS3054,260.754,1218.082,260.754,251.594,1218.082,260.754,201.487,1218.082
GDS3054,262.56,426.571,262.56,211.26,426.571,262.56,222.801,426.571
GDS3054,175.921,113.674,244.248,207.588,113.674,175.921,201.836,113.674
Control,14.762,8247.89,14.762,1027.95,8247.89,14.762,171.422,476.804
GDS2966,452.166,4291.7,81.292,977.66,4291.7,452.166,88.823,552.448
GDS2966,415.597,5237.08,122.335,872.36,5237.08,415.597,141.995,794.033
GDS2966,53.677,5054.12,53.677,921.54,5054.12,53.677,104.89,450.683
Control,131.6345,771.8245,12.0385000000001,1061.7905,1061.7905,12.0385000000001,188.5165,771.8245
Control,141.1295,927.7915,141.1295,936.7445,936.7445,141.1295,197.2935,719.0925
Control,169.6845,1213.9885,133.4315,1639.1165,1639.1165,122.6805,437.3005,374.6605
Control,97.0554999999999,900.7035,21.9265,952.1905,952.1905,21.9265,342.8355,577.1145
GDS2491,22.2975,1295.9125,60.7205000000001,725.5795,1295.9125,76.0725,235.7065,1295.9125
GDS2491,14.7584999999999,786.9805,345.4855,729.5185,786.9805,345.4855,151.3025,786.9805
GDS2491,54.5765,895.1615,48.8155,730.8425,895.1615,48.8155,408.7575,895.1615
GDS2491,50.8074999999999,1058.9375,279.2295,748.2025,1058.9375,279.2295,467.0315,1058.9375
GDS2491,264.2455,790.9095,264.2455,1282.5565,1282.5565,264.2455,371.8425,790.9095
Control,84.6660000000001,781.266,84.6660000000001,187.266,781.266,84.6660000000001,641.866,781.266
Control,38.266,877.966,118.566,292.966,877.966,118.566,653.766,877.966
Control,41.266,580.566,68.066,304.266,708.666,68.066,708.666,580.566
Control,169.566,749.766,169.566,110.266,749.766,169.566,654.366,749.766
Control,77.366,629.066,77.366,149.566,806.166,77.366,806.166,629.066
GDS2490,203.766,589.666,301.366,223.366,598.966,301.366,598.966,589.666
