disease,experiment,threshold,features,difference,difference number
Adenoma,GDS2860,20,40,0,0
Adenoma,GDS2860,20,50,0,0
Adenoma,GDS2860,20,60,0,0
Adenoma,GDS2860,20,70,0,0
Adenoma,GDS2860,20,80,0,0
Adenoma,GDS2860,20,90,0,0
Adenoma,GDS2432,30,10,0,0
Adenoma,GDS2432,30,20,1,25
Adenoma,GDS2432,30,30,0,0
Adenoma,GDS2432,30,40,0,0
Adenoma,GDS2432,30,50,0,0
Adenoma,GDS2432,30,60,0,0
Adenoma,GDS2432,30,70,0,0
Adenoma,GDS2432,30,80,0,0
Adenoma,GDS2432,30,90,0,0
Adenoma,GDS2860,30,10,-1,-25
Adenoma,GDS2860,30,20,0,0
Adenoma,GDS2860,30,30,0,0
Adenoma,GDS2860,30,40,0,0
Adenoma,GDS2860,30,50,0,0
Adenoma,GDS2860,30,60,0,0
Adenoma,GDS2860,30,70,0,0
Adenoma,GDS2860,30,80,0,0
Adenoma,GDS2860,30,90,0,0
Adenoma,GDS2432,40,10,-1,-20
Adenoma,GDS2432,40,20,1,20
Adenoma,GDS2432,40,30,1,20
Adenoma,GDS2432,40,40,1,20
Adenoma,GDS2432,40,50,0,0
Adenoma,GDS2432,40,60,-1,-20
Adenoma,GDS2432,40,70,0,0
Adenoma,GDS2432,40,80,0,0
Adenoma,GDS2432,40,90,0,0
Adenoma,GDS2860,40,10,-1,-20
Adenoma,GDS2860,40,20,0,0
Adenoma,GDS2860,40,30,-1,-20
Adenoma,GDS2860,40,40,0,0
Adenoma,GDS2860,40,50,0,0
Adenoma,GDS2860,40,60,0,0
Adenoma,GDS2860,40,70,0,0
Adenoma,GDS2860,40,80,0,0
Adenoma,GDS2860,40,90,0,0
Adenoma,GDS2432,50,10,1,50
Adenoma,GDS2432,50,20,1,16.6666
Adenoma,GDS2432,50,30,1,33.3333
Adenoma,GDS2432,50,40,0,0
Adenoma,GDS2432,50,50,0,0
Adenoma,GDS2432,50,60,0,0
Adenoma,GDS2432,50,70,-1,-16.6666
Adenoma,GDS2432,50,80,-1,-16.6666
Adenoma,GDS2432,50,90,-1,-16.6666
Adenoma,GDS2860,50,10,-1,-16.6667
Adenoma,GDS2860,50,20,-1,-16.6667
Adenoma,GDS2860,50,30,-1,-16.6667
Adenoma,GDS2860,50,40,0,0
Adenoma,GDS2860,50,50,-1,-16.6667
Adenoma,GDS2860,50,60,0,0
Adenoma,GDS2860,50,70,0,0
Adenoma,GDS2860,50,80,0,0
Adenoma,GDS2860,50,90,0,0
Adenoma,GDS2432,60,10,1,28.5715
Adenoma,GDS2432,60,20,1,14.2858
Adenoma,GDS2432,60,30,-1,-14.2857
Adenoma,GDS2432,60,40,-1,-14.2857
Adenoma,GDS2432,60,50,-1,-14.2857
Adenoma,GDS2432,60,60,-1,-14.2857
Adenoma,GDS2432,60,70,-1,-14.2857
Adenoma,GDS2432,60,80,-1,-14.2857
Adenoma,GDS2432,60,90,0,0
Adenoma,GDS2860,60,10,-1,-14.2857
Adenoma,GDS2860,60,20,1,14.2857
Adenoma,GDS2860,60,30,1,14.2857
Adenoma,GDS2860,60,40,0,0
Adenoma,GDS2860,60,50,1,14.2857
Adenoma,GDS2860,60,60,1,14.2857
Adenoma,GDS2860,60,70,1,14.2857
Adenoma,GDS2860,60,80,1,14.2857
Adenoma,GDS2860,60,90,1,14.2857
Adenoma,GDS2432,70,10,1,11.1111
Adenoma,GDS2432,70,20,-1,-11.1111
Adenoma,GDS2432,70,30,-1,-11.1111
Adenoma,GDS2432,70,40,-1,-11.1111
Adenoma,GDS2432,70,50,-1,-11.1111
Adenoma,GDS2432,70,60,-1,-11.1111
Adenoma,GDS2432,70,70,-1,-11.1111
Adenoma,GDS2432,70,80,-1,-11.1111
Adenoma,GDS2432,70,90,-1,-11.1111
Adenoma,GDS2860,70,10,0,0
Adenoma,GDS2860,70,20,0,0
Adenoma,GDS2860,70,30,1,12.5
Adenoma,GDS2860,70,40,0,0
Adenoma,GDS2860,70,50,1,12.5
Adenoma,GDS2860,70,60,1,12.5
Adenoma,GDS2860,70,70,1,12.5
Adenoma,GDS2860,70,80,1,12.5
Adenoma,GDS2860,70,90,0,0
Adenoma,GDS2432,80,10,1,11.1111
Adenoma,GDS2432,80,20,-1,-11.1111
Adenoma,GDS2432,80,30,-1,-11.1111
Adenoma,GDS2432,80,40,-1,-11.1111
Adenoma,GDS2432,80,50,-1,-11.1111
Adenoma,GDS2432,80,60,-1,-11.1111
Adenoma,GDS2432,80,70,-1,-11.1111
Adenoma,GDS2432,80,80,-1,-11.1111
Adenoma,GDS2432,80,90,-1,-11.1111
Adenoma,GDS2860,80,10,-1,-20
Adenoma,GDS2860,80,20,-1,-20
Adenoma,GDS2860,80,30,-1,-30
Adenoma,GDS2860,80,40,-1,-20
Adenoma,GDS2860,80,50,-1,-10
Adenoma,GDS2860,80,60,-1,-10
Adenoma,GDS2860,80,70,-1,-10
Adenoma,GDS2860,80,80,-1,-10
Adenoma,GDS2860,80,90,-1,-10
Adenoma,GDS2432,90,10,-1,-20
Adenoma,GDS2432,90,20,-1,-40
Adenoma,GDS2432,90,30,-1,-40
Adenoma,GDS2432,90,40,-1,-20
Adenoma,GDS2432,90,50,-1,-40
Adenoma,GDS2432,90,60,-1,-20
Adenoma,GDS2432,90,70,-1,-30
Adenoma,GDS2432,90,80,-1,-30
Adenoma,GDS2432,90,90,-1,-30
Adenoma,GDS2860,90,10,-1,-20
Adenoma,GDS2860,90,20,-1,-20
Adenoma,GDS2860,90,30,-1,-30
Adenoma,GDS2860,90,40,-1,-20
Adenoma,GDS2860,90,50,-1,-10
Adenoma,GDS2860,90,60,-1,-10
Adenoma,GDS2860,90,70,-1,-10
Adenoma,GDS2860,90,80,-1,-10
Adenoma,GDS2860,90,90,-1,-10
Carcinoma_Renal_Cell,GDS505,10,10,0,0
Carcinoma_Renal_Cell,GDS505,10,20,0,0
Carcinoma_Renal_Cell,GDS505,10,30,0,0
Carcinoma_Renal_Cell,GDS505,10,40,0,0
Carcinoma_Renal_Cell,GDS505,10,50,0,0
Carcinoma_Renal_Cell,GDS505,10,60,0,0
Carcinoma_Renal_Cell,GDS505,10,70,0,0
Carcinoma_Renal_Cell,GDS505,10,80,0,0
Carcinoma_Renal_Cell,GDS505,10,90,0,0
Carcinoma_Renal_Cell,GDS507,10,10,0,0
Carcinoma_Renal_Cell,GDS507,10,20,0,0
Carcinoma_Renal_Cell,GDS507,10,30,0,0
Carcinoma_Renal_Cell,GDS507,10,40,0,0
Carcinoma_Renal_Cell,GDS507,10,50,0,0
Carcinoma_Renal_Cell,GDS507,10,60,0,0
Carcinoma_Renal_Cell,GDS507,10,70,0,0
Carcinoma_Renal_Cell,GDS507,10,80,0,0
Carcinoma_Renal_Cell,GDS507,10,90,0,0
Carcinoma_Renal_Cell,GDS505,20,10,0,0
Carcinoma_Renal_Cell,GDS505,20,20,0,0
Carcinoma_Renal_Cell,GDS505,20,30,0,0
Carcinoma_Renal_Cell,GDS505,20,40,0,0
Carcinoma_Renal_Cell,GDS505,20,50,0,0
Carcinoma_Renal_Cell,GDS505,20,60,0,0
Carcinoma_Renal_Cell,GDS505,20,70,0,0
Carcinoma_Renal_Cell,GDS505,20,80,0,0
Carcinoma_Renal_Cell,GDS505,20,90,0,0
Carcinoma_Renal_Cell,GDS507,20,10,0,0
Carcinoma_Renal_Cell,GDS507,20,20,0,0
Carcinoma_Renal_Cell,GDS507,20,30,0,0
Carcinoma_Renal_Cell,GDS507,20,40,0,0
Carcinoma_Renal_Cell,GDS507,20,50,0,0
Carcinoma_Renal_Cell,GDS507,20,60,0,0
Carcinoma_Renal_Cell,GDS507,20,70,0,0
Carcinoma_Renal_Cell,GDS507,20,80,0,0
Carcinoma_Renal_Cell,GDS507,20,90,0,0
Carcinoma_Renal_Cell,GDS505,30,10,0,0
Carcinoma_Renal_Cell,GDS505,30,20,0,0
Carcinoma_Renal_Cell,GDS505,30,30,0,0
Carcinoma_Renal_Cell,GDS505,30,40,0,0
Carcinoma_Renal_Cell,GDS505,30,50,0,0
Carcinoma_Renal_Cell,GDS505,30,60,0,0
Carcinoma_Renal_Cell,GDS505,30,70,0,0
Carcinoma_Renal_Cell,GDS505,30,80,0,0
Carcinoma_Renal_Cell,GDS505,30,90,0,0
Carcinoma_Renal_Cell,GDS507,30,10,0,0
Carcinoma_Renal_Cell,GDS507,30,20,0,0
Carcinoma_Renal_Cell,GDS507,30,30,0,0
Carcinoma_Renal_Cell,GDS507,30,40,0,0
Carcinoma_Renal_Cell,GDS507,30,50,0,0
Carcinoma_Renal_Cell,GDS507,30,60,0,0
Carcinoma_Renal_Cell,GDS507,30,70,0,0
Carcinoma_Renal_Cell,GDS507,30,80,0,0
