features,train instances,type,accuracy
800,32.0,multi,25.0
800,32.0,multi,25.0
800,33.0,multi,0.0
800,33.0,multi,33.3333
800,33.0,multi,33.3333
800,33.0,multi,33.3333
800,34.0,multi,0.0
800,34.0,multi,50.0
800,35.0,multi,0.0
800,35.0,multi,0.0
800,35.0,multi,100.0
500,5.0,multi,33.3333
500,5.0,multi,33.3333
500,5.0,multi,33.3333
500,5.0,multi,33.3333
500,6.0,multi,100.0
500,6.0,multi,0.0
500,6.0,multi,100.0
500,6.0,multi,0.0
500,6.0,multi,100.0
500,6.0,multi,50.0
500,7.0,multi,0.0
500,7.0,multi,0.0
500,7.0,multi,0.0
500,7.0,multi,0.0
500,8.0,multi,0.0
500,8.0,multi,0.0
500,8.0,multi,0.0
500,8.0,multi,0.0
500,17.0,multi,56.0
500,20.0,multi,50.0
500,20.0,multi,81.25
500,22.0,multi,21.4286
500,23.0,multi,47.3684
500,24.0,multi,83.3333
500,26.0,multi,50.0
500,26.0,multi,60.0
500,26.0,multi,70.0
500,27.0,multi,33.3333
500,27.0,multi,66.6667
500,28.0,multi,62.5
500,29.0,multi,71.4286
500,29.0,multi,57.1429
500,30.0,multi,33.3333
500,31.0,multi,40.0
500,31.0,multi,40.0
500,32.0,multi,25.0
500,32.0,multi,25.0
500,32.0,multi,25.0
500,33.0,multi,0.0
500,33.0,multi,33.3333
500,33.0,multi,33.3333
500,33.0,multi,33.3333
500,34.0,multi,0.0
500,34.0,multi,50.0
500,35.0,multi,42.8571
500,35.0,multi,0.0
500,35.0,multi,0.0
500,35.0,multi,100.0
500,35.0,multi,100.0
500,36.0,multi,33.3333
500,36.0,multi,0.0
500,37.0,multi,40.0
500,37.0,multi,20.0
500,38.0,multi,50.0
500,38.0,multi,50.0
500,38.0,multi,25.0
500,39.0,multi,33.3333
1000,5.0,multi,33.3333
1000,5.0,multi,33.3333
1000,5.0,multi,33.3333
1000,5.0,multi,33.3333
1000,6.0,multi,100.0
1000,6.0,multi,0.0
1000,6.0,multi,100.0
1000,6.0,multi,0.0
1000,6.0,multi,100.0
1000,6.0,multi,50.0
1000,7.0,multi,0.0
1000,7.0,multi,0.0
1000,7.0,multi,0.0
1000,7.0,multi,0.0
1000,8.0,multi,0.0
1000,8.0,multi,0.0
1000,8.0,multi,0.0
1000,8.0,multi,0.0
