features,train instances,type,accuracy
1300,2.0,single,100.0
1300,2.0,single,0.0
1300,2.0,single,100.0
1300,2.0,single,0.0
1300,2.0,single,100.0
1300,2.0,single,50.0
1300,3.0,single,100.0
1300,3.0,single,0.0
1300,3.0,single,100.0
1300,3.0,single,0.0
1300,1.0,single,33.3333
1300,1.0,single,33.3333
1300,1.0,single,33.3333
1300,1.0,single,33.3333
1300,4.0,single,0.0
1300,4.0,single,0.0
1300,4.0,single,0.0
1300,4.0,single,0.0
600,1.0,single,42.8571
600,1.0,single,40.0
600,1.0,single,40.0
600,1.0,single,33.3333
600,1.0,single,33.3333
600,1.0,single,33.3333
600,1.0,single,33.3333
600,2.0,single,33.3333
600,2.0,single,100.0
600,2.0,single,100.0
600,2.0,single,87.5
600,2.0,single,40.0
600,2.0,single,25.0
600,2.0,single,25.0
600,2.0,single,100.0
600,2.0,single,0.0
600,2.0,single,100.0
600,2.0,single,0.0
600,2.0,single,100.0
600,2.0,single,0.0
600,3.0,single,60.0
600,3.0,single,20.0
600,3.0,single,100.0
600,3.0,single,33.3333
600,3.0,single,0.0
600,3.0,single,66.6667
600,3.0,single,100.0
600,3.0,single,0.0
600,3.0,single,100.0
600,3.0,single,0.0
600,4.0,single,100.0
600,4.0,single,50.0
600,4.0,single,37.5
600,4.0,single,0.0
600,4.0,single,0.0
600,4.0,single,0.0
600,4.0,single,0.0
600,4.0,single,0.0
600,5.0,single,28.5714
600,5.0,single,0.0
600,5.0,single,0.0
600,6.0,single,50.0
600,6.0,single,100.0
600,6.0,single,33.3333
600,6.0,single,0.0
600,8.0,single,100.0
600,8.0,single,25.0
600,9.0,single,52.6316
600,9.0,single,88.8889
600,9.0,single,0.0
600,10.0,single,0.0
600,11.0,single,85.7143
600,11.0,single,0.0
600,12.0,single,50.0
600,13.0,single,80.0
600,15.0,single,100.0
300,1.0,single,42.8571
300,1.0,single,40.0
300,1.0,single,40.0
300,1.0,single,33.3333
300,1.0,single,33.3333
300,1.0,single,33.3333
300,1.0,single,33.3333
300,2.0,single,33.3333
300,2.0,single,100.0
300,2.0,single,100.0
300,2.0,single,87.5
300,2.0,single,40.0
300,2.0,single,25.0
300,2.0,single,25.0
300,2.0,single,0.0
300,2.0,single,50.0
300,2.0,single,0.0
300,2.0,single,50.0
300,2.0,single,0.0
300,2.0,single,50.0
300,3.0,single,56.0
300,3.0,single,20.0
300,3.0,single,100.0
300,3.0,single,33.3333
300,3.0,single,0.0
300,3.0,single,100.0
300,3.0,single,100.0
300,3.0,single,0.0
300,3.0,single,100.0
300,3.0,single,0.0
300,4.0,single,100.0
300,4.0,single,57.1429
300,4.0,single,37.5
300,4.0,single,50.0
300,4.0,single,0.0
300,4.0,single,0.0
300,4.0,single,0.0
300,4.0,single,0.0
300,5.0,single,28.5714
300,5.0,single,100.0
300,5.0,single,100.0
300,6.0,single,54.5455
300,6.0,single,100.0
300,6.0,single,33.3333
300,6.0,single,0.0
300,8.0,single,100.0
300,8.0,single,25.0
300,9.0,single,47.3684
300,9.0,single,88.8889
300,9.0,single,0.0
300,10.0,single,0.0
300,11.0,single,85.7143
