features,thresholdtype,accuracy,,,,,,
,,,,,,,,
800,20,single,33.3333,,800,20,multi,33.3333
,,,,,,,,
800,30,single,20,,800,30,multi,20
,,,,,,,,
800,30,single,52.6316,,800,30,multi,52.6316
,,,,,,,,
800,30,single,100,,800,30,multi,100
,,,,,,,,
800,30,single,100,,800,30,multi,100
,,,,,,,,
800,30,single,25,,800,30,multi,25
,,,,,,,,
800,30,single,37.5,,800,30,multi,37.5
,,,,,,,,
800,30,single,100,,800,30,multi,100
,,,,,,,,
800,30,single,0,,800,30,multi,0
,,,,,,,,
800,50,single,88.8889,,800,50,multi,88.8889
,,,,,,,,
800,50,single,33.3333,,800,50,multi,33.3333
,,,,,,,,
800,50,single,33.3333,,800,50,multi,33.3333
,,,,,,,,
800,50,single,100,,800,50,multi,100
,,,,,,,,
800,50,single,0,,800,50,multi,0
,,,,,,,,
800,40,single,100,,800,40,multi,100
,,,,,,,,
800,40,single,50,,800,40,multi,50
,,,,,,,,
800,40,single,100,,800,40,multi,100
,,,,,,,,
800,40,single,100,,800,40,multi,100
,,,,,,,,
800,40,single,0,,800,40,multi,0
,,,,,,,,
800,40,single,28.5714,,800,40,multi,28.5714
,,,,,,,,
800,40,single,100,,800,40,multi,100
,,,,,,,,
800,40,single,0,,800,40,multi,0
,,,,,,,,
800,60,single,85.7143,,800,60,multi,85.7143
,,,,,,,,
800,60,single,0,,800,60,multi,0
,,,,,,,,
800,60,single,25,,800,60,multi,25
,,,,,,,,
800,60,single,100,,800,60,multi,100
,,,,,,,,
800,60,single,0,,800,60,multi,0
,,,,,,,,
800,70,single,80,,800,70,multi,80
,,,,,,,,
800,70,single,0,,800,70,multi,0
,,,,,,,,
800,70,single,0,,800,70,multi,0
,,,,,,,,
800,70,single,100,,800,70,multi,100
,,,,,,,,
800,70,single,0,,800,70,multi,0
,,,,,,,,
800,90,single,0,,800,90,multi,0
,,,,,,,,
800,90,single,0,,800,90,multi,0
,,,,,,,,
800,90,single,0,,800,90,multi,0
,,,,,,,,
800,90,single,0,,800,90,multi,0
,,,,,,,,
800,80,single,100,,800,80,multi,100
,,,,,,,,
800,80,single,0,,800,80,multi,0
,,,,,,,,
800,80,single,0,,800,80,multi,0
,,,,,,,,
800,80,single,0,,800,80,multi,0
,,,,,,,,
800,80,single,0,,800,80,multi,0
,,,,,,,,
500,10,single,42.8571,,500,10,multi,42.8571
,,,,,,,,
500,10,single,60,,500,10,multi,60
,,,,,,,,
500,10,single,40,,500,10,multi,40
,,,,,,,,
500,10,single,87.5,,500,10,multi,87.5
,,,,,,,,
500,10,single,40,,500,10,multi,40
,,,,,,,,
500,10,single,40,,500,10,multi,40
,,,,,,,,
500,10,single,33.3333,,500,10,multi,33.3333
,,,,,,,,
500,10,single,33.3333,,500,10,multi,33.3333
,,,,,,,,
500,20,single,33.3333,,500,20,multi,33.3333
,,,,,,,,
500,20,single,50,,500,20,multi,50
,,,,,,,,
500,20,single,100,,500,20,multi,100
,,,,,,,,
500,20,single,50,,500,20,multi,50
,,,,,,,,
500,20,single,25,,500,20,multi,25
,,,,,,,,
500,20,single,33.3333,,500,20,multi,33.3333
,,,,,,,,
500,20,single,33.3333,,500,20,multi,33.3333
,,,,,,,,
500,20,single,33.3333,,500,20,multi,33.3333
,,,,,,,,
500,30,single,20,,500,30,multi,20
,,,,,,,,
500,30,single,47.3684,,500,30,multi,47.3684
,,,,,,,,
500,30,single,100,,500,30,multi,100
,,,,,,,,
500,30,single,100,,500,30,multi,100
,,,,,,,,
500,30,single,25,,500,30,multi,25
,,,,,,,,
500,30,single,37.5,,500,30,multi,37.5
,,,,,,,,
500,30,single,100,,500,30,multi,100
,,,,,,,,
500,30,single,0,,500,30,multi,0
,,,,,,,,
500,50,single,88.8889,,500,50,multi,88.8889
,,,,,,,,
500,50,single,66.6667,,500,50,multi,66.6667
,,,,,,,,
500,50,single,33.3333,,500,50,multi,33.3333
,,,,,,,,
500,50,single,100,,500,50,multi,100
,,,,,,,,
500,50,single,0,,500,50,multi,0
,,,,,,,,
500,40,single,100,,500,40,multi,100
,,,,,,,,
500,40,single,50,,500,40,multi,50
,,,,,,,,
500,40,single,100,,500,40,multi,100
,,,,,,,,
500,40,single,100,,500,40,multi,100
,,,,,,,,
500,40,single,0,,500,40,multi,0
,,,,,,,,
500,40,single,28.5714,,500,40,multi,28.5714
,,,,,,,,
500,40,single,100,,500,40,multi,100
,,,,,,,,
500,40,single,0,,500,40,multi,0
,,,,,,,,
500,60,single,85.7143,,500,60,multi,85.7143
,,,,,,,,
500,60,single,50,,500,60,multi,50
,,,,,,,,
500,60,single,25,,500,60,multi,25
,,,,,,,,
500,60,single,100,,500,60,multi,100
,,,,,,,,
500,60,single,0,,500,60,multi,0
,,,,,,,,
500,70,single,80,,500,70,multi,80
,,,,,,,,
500,70,single,0,,500,70,multi,0
,,,,,,,,
500,70,single,0,,500,70,multi,0
,,,,,,,,
500,70,single,100,,500,70,multi,100
,,,,,,,,
500,70,single,0,,500,70,multi,0
,,,,,,,,
500,90,single,0,,500,90,multi,0
,,,,,,,,
500,90,single,0,,500,90,multi,0
,,,,,,,,
500,90,single,0,,500,90,multi,0
,,,,,,,,
500,90,single,0,,500,90,multi,0
,,,,,,,,
500,80,single,100,,500,80,multi,100
,,,,,,,,
500,80,single,0,,500,80,multi,0
,,,,,,,,
500,80,single,0,,500,80,multi,0
,,,,,,,,
500,80,single,0,,500,80,multi,0
,,,,,,,,
500,80,single,0,,500,80,multi,0
,,,,,,,,
1000,10,single,33.3333,,1000,10,multi,33.3333
,,,,,,,,
1000,10,single,33.3333,,1000,10,multi,33.3333
,,,,,,,,
1000,20,single,33.3333,,1000,20,multi,33.3333
,,,,,,,,
1000,20,single,33.3333,,1000,20,multi,33.3333
,,,,,,,,
1000,30,single,100,,1000,30,multi,100
,,,,,,,,
1000,30,single,0,,1000,30,multi,0
,,,,,,,,
1000,50,single,100,,1000,50,multi,100
,,,,,,,,
1000,50,single,50,,1000,50,multi,50
,,,,,,,,
1000,40,single,100,,1000,40,multi,100
,,,,,,,,
1000,40,single,0,,1000,40,multi,0
,,,,,,,,
1000,60,single,100,,1000,60,multi,100
,,,,,,,,
1000,60,single,0,,1000,60,multi,0
,,,,,,,,
1000,70,single,100,,1000,70,multi,100
,,,,,,,,
1000,70,single,0,,1000,70,multi,0
,,,,,,,,
1000,90,single,0,,1000,90,multi,0
,,,,,,,,
1000,90,single,0,,1000,90,multi,0
,,,,,,,,
1000,80,single,0,,1000,80,multi,0
,,,,,,,,
1000,80,single,0,,1000,80,multi,0
