features,thresholdtype,accuracy,,,,,,
,,,,,,,,
900,90,single,0,,900,90,multi,0
,,,,,,,,
900,90,single,0,,900,90,multi,0
,,,,,,,,
900,90,single,0,,900,90,multi,0
,,,,,,,,
900,90,single,0,,900,90,multi,0
,,,,,,,,
900,80,single,100,,900,80,multi,100
,,,,,,,,
900,80,single,0,,900,80,multi,0
,,,,,,,,
900,80,single,0,,900,80,multi,0
,,,,,,,,
900,80,single,0,,900,80,multi,0
,,,,,,,,
900,80,single,0,,900,80,multi,0
,,,,,,,,
1400,10,single,33.3333,,1400,10,multi,33.3333
,,,,,,,,
1400,10,single,33.3333,,1400,10,multi,33.3333
,,,,,,,,
1400,20,single,33.3333,,1400,20,multi,33.3333
,,,,,,,,
1400,20,single,33.3333,,1400,20,multi,33.3333
,,,,,,,,
1400,30,single,100,,1400,30,multi,100
,,,,,,,,
1400,30,single,0,,1400,30,multi,0
,,,,,,,,
1400,50,single,100,,1400,50,multi,100
,,,,,,,,
1400,50,single,50,,1400,50,multi,50
,,,,,,,,
1400,40,single,100,,1400,40,multi,100
,,,,,,,,
1400,40,single,0,,1400,40,multi,0
,,,,,,,,
1400,60,single,100,,1400,60,multi,100
,,,,,,,,
1400,60,single,0,,1400,60,multi,0
,,,,,,,,
1400,70,single,100,,1400,70,multi,100
,,,,,,,,
1400,70,single,0,,1400,70,multi,0
,,,,,,,,
1400,90,single,0,,1400,90,multi,0
,,,,,,,,
1400,90,single,0,,1400,90,multi,0
,,,,,,,,
1400,80,single,0,,1400,80,multi,0
,,,,,,,,
1400,80,single,0,,1400,80,multi,0
,,,,,,,,
1300,10,single,33.3333,,1300,10,multi,33.3333
,,,,,,,,
1300,10,single,33.3333,,1300,10,multi,33.3333
,,,,,,,,
1300,20,single,33.3333,,1300,20,multi,33.3333
,,,,,,,,
1300,20,single,33.3333,,1300,20,multi,33.3333
,,,,,,,,
1300,30,single,100,,1300,30,multi,100
,,,,,,,,
1300,30,single,0,,1300,30,multi,0
,,,,,,,,
1300,50,single,100,,1300,50,multi,100
,,,,,,,,
1300,50,single,50,,1300,50,multi,50
,,,,,,,,
1300,40,single,100,,1300,40,multi,100
,,,,,,,,
1300,40,single,0,,1300,40,multi,0
,,,,,,,,
1300,60,single,100,,1300,60,multi,100
,,,,,,,,
1300,60,single,0,,1300,60,multi,0
,,,,,,,,
1300,70,single,100,,1300,70,multi,100
,,,,,,,,
1300,70,single,0,,1300,70,multi,0
,,,,,,,,
1300,90,single,0,,1300,90,multi,0
,,,,,,,,
1300,90,single,0,,1300,90,multi,0
,,,,,,,,
1300,80,single,0,,1300,80,multi,0
,,,,,,,,
1300,80,single,0,,1300,80,multi,0
,,,,,,,,
600,10,single,42.8571,,600,10,multi,42.8571
,,,,,,,,
600,10,single,60,,600,10,multi,60
,,,,,,,,
600,10,single,40,,600,10,multi,40
,,,,,,,,
600,10,single,87.5,,600,10,multi,87.5
,,,,,,,,
600,10,single,40,,600,10,multi,40
,,,,,,,,
600,10,single,40,,600,10,multi,40
,,,,,,,,
600,10,single,33.3333,,600,10,multi,33.3333
,,,,,,,,
600,10,single,33.3333,,600,10,multi,33.3333
,,,,,,,,
600,20,single,33.3333,,600,20,multi,33.3333
,,,,,,,,
600,20,single,50,,600,20,multi,50
,,,,,,,,
600,20,single,100,,600,20,multi,100
,,,,,,,,
600,20,single,50,,600,20,multi,50
,,,,,,,,
600,20,single,25,,600,20,multi,25
,,,,,,,,
600,20,single,33.3333,,600,20,multi,33.3333
,,,,,,,,
600,20,single,33.3333,,600,20,multi,33.3333
,,,,,,,,
600,20,single,33.3333,,600,20,multi,33.3333
,,,,,,,,
600,30,single,20,,600,30,multi,20
,,,,,,,,
600,30,single,52.6316,,600,30,multi,52.6316
,,,,,,,,
