% Title: HIV, All Species Singlenet
% Creator: Neena Parikh
%
@RELATION infection

@ATTRIBUTE class {Control,Infected}
@ATTRIBUTE TPM1 NUMERIC
@ATTRIBUTE PAK2 NUMERIC
@ATTRIBUTE MMP11 NUMERIC
@ATTRIBUTE MYO10 NUMERIC
@ATTRIBUTE RHEB NUMERIC
@ATTRIBUTE OBSL1 NUMERIC
@ATTRIBUTE CAMSAP1 NUMERIC
@ATTRIBUTE MLLT4 NUMERIC
@ATTRIBUTE CALM3 NUMERIC
@ATTRIBUTE N4BP2L1 NUMERIC
@ATTRIBUTE COL11A1 NUMERIC
@ATTRIBUTE FLT1 NUMERIC
@ATTRIBUTE RPS14 NUMERIC
@ATTRIBUTE WWC1 NUMERIC
@ATTRIBUTE MBP NUMERIC
@ATTRIBUTE GSN NUMERIC
@ATTRIBUTE HIST1H2BC NUMERIC
@ATTRIBUTE SIPA1L3 NUMERIC
@ATTRIBUTE DCAF7 NUMERIC
@ATTRIBUTE CD44 NUMERIC
@ATTRIBUTE MEG3 NUMERIC

@DATA
Infected,34082.1255,33871.5775,34258.0245,34226.6285,33903.0455,34082.1255,33871.5775,28290.0915,33857.8655,34258.0245,34156.2015,33931.3405,34171.2155,34117.7955,34103.7945,34171.2155,34103.7945,34113.4615,34057.2635,33727.1745,34275.1205
Infected,34093.1165,33965.0725,34266.5985,34232.9655,33970.6435,34009.3725,34010.0495,30607.1595,33829.7775,34266.5985,34217.7785,33969.2865,34176.6685,34155.9535,34009.3725,34176.6685,34009.3725,34181.2375,33760.8595,33829.7775,34281.6885
Infected,34100.5745,33939.5825,34260.5485,34220.2365,33999.7655,34100.5745,34094.9325,29713.2585,33917.3895,34260.5485,34196.5035,34161.4185,34167.1715,34095.3485,34172.7565,34167.1715,34167.1715,34176.9915,34081.1045,33830.3105,34278.3445
Infected,33977.3425,33874.4415,34270.5755,34229.3115,33919.3335,33899.1775,34114.2755,26648.8905,33734.9725,34253.0395,34205.4445,34057.0795,34174.8875,34075.7275,33899.1775,34198.4735,33899.1775,34148.1755,33924.1435,33734.9725,34278.8245
Infected,33992.7145,33886.6995,34250.4895,34239.3495,34009.4905,33932.6795,33978.9215,28460.7795,33680.3425,34250.4895,34205.9475,34114.9905,34179.0175,33939.5155,33932.6795,34208.8795,33932.6795,34167.9425,33918.8855,33680.3425,34270.7645
Infected,34201.5735,33952.9715,34259.9865,34211.8055,33865.6675,34154.3535,34090.0055,29267.5365,34149.2255,34257.3015,34218.3445,34118.3465,34147.3455,33851.8155,34154.3535,34147.3455,34147.3455,34227.6375,33409.5695,33864.9845,34278.4755
Infected,34080.4165,33852.3825,34238.9825,34220.8815,34060.2215,33975.8735,33852.3825,30419.1205,33943.2145,34238.8335,34214.3875,33838.7935,34165.6535,33869.9995,33975.8735,34165.6535,33975.8735,34219.1895,33545.3505,33763.3285,34263.2925
Infected,34063.8475,34007.4165,34267.1805,34240.0535,33958.5835,33934.1165,34025.2215,28544.8565,33950.4865,34217.5665,34208.3305,34141.3625,34192.1225,33860.4515,33934.1165,34192.1225,33934.1165,34209.4835,33028.5615,33710.6845,34279.0095
Infected,34150.0845,33897.2135,34259.6945,34232.0805,34003.9535,34033.0095,34093.7875,29483.6645,34062.7855,34250.5915,34215.1875,34123.1065,34178.7785,34078.1425,34033.0095,34178.7785,34033.0095,34205.6345,33561.9885,33660.1315,34277.2325
Infected,33927.2865,33944.5995,34247.4185,34226.2725,34012.5965,33810.5795,34112.3165,25914.1075,33763.8305,34247.4185,34194.6385,34134.2185,34175.9415,34052.6365,33810.5795,34175.9415,33810.5795,34178.7745,33523.2195,33524.3025,34271.2335
