Node: MXD4, Parent: PON1
Node: MXD4, Parent: CDC25C
Node: MXD4, Parent: MAPK11
Node: MXD4, Parent: PAK2
Node: MXD4, Parent: CFLAR
Node: MXD4, Parent: TBCD
Node: SETD1A, Parent: ITPR2
Node: SETD1A, Parent: C16orf7
Node: SETD1A, Parent: P2RY2
Node: SETD1A, Parent: XCL1
Node: XCL1, Parent: ITPR2
Node: XCL1, Parent: STAB1
Node: XCL1, Parent: MYH3
Node: XCL1, Parent: AEBP1
Node: XCL1, Parent: ICOSLG
Node: XCL1, Parent: TNFAIP6
Node: TNFRSF9, Parent: MMP16
Node: TNFRSF9, Parent: MFN1
Node: TNFRSF9, Parent: PGCP
Node: TNFRSF9, Parent: XRCC4
Node: TNFRSF9, Parent: P2RY2
Node: TNFRSF9, Parent: NR4A2
Node: TNFRSF9, Parent: TNF
Node: NR4A2, Parent: AVPR1B
Node: NR4A2, Parent: SNTB1
Node: NR4A2, Parent: CA2
Node: NR4A2, Parent: MXI1
Node: NR4A3, Parent: AKAP8
Node: NR4A3, Parent: HNF4A
Node: NR4A3, Parent: EIF1
Node: NR4A3, Parent: CFLAR
Node: TNFAIP6, Parent: DAP3
Node: TNFAIP6, Parent: MAPK11
Node: TNFAIP6, Parent: SILV
Node: TNFAIP6, Parent: SEC22B
Node: TNF, Parent: PBXIP1
Node: RHEB, Parent: TLL2
Node: RHEB, Parent: WSB2
Node: RHEB, Parent: GLDC
Node: RHEB, Parent: AQP7
Node: RHEB, Parent: CHD3
